column,dtype,unique_values,sample_values
Type,object,4,"DEBIT, TRANSFER, CASH, DEBIT, PAYMENT"
Days for shipping (real),int64,7,"3, 5, 4, 3, 2"
Days for shipment (scheduled),int64,4,"4, 4, 4, 4, 4"
Benefit per order,float64,21998,"91.25, -249.0899963, -247.7799988, 22.86000061, 134.2100067"
Sales per customer,float64,2927,"314.6400146, 311.3599854, 309.7200012, 304.8099976, 298.25"
Delivery Status,object,4,"Advance shipping, Late delivery, Shipping on time, Advance shipping, Advance shipping"
Late_delivery_risk,int64,2,"0, 1, 0, 0, 0"
Category Id,int64,51,"73, 73, 73, 73, 73"
Category Name,object,50,"Sporting Goods, Sporting Goods, Sporting Goods, Sporting Goods, Sporting Goods"
Customer City,object,563,"Caguas, Caguas, San Jose, Los Angeles, Caguas"
Customer Country,object,2,"Puerto Rico, Puerto Rico, EE. UU., EE. UU., Puerto Rico"
Customer Email,object,1,"XXXXXXXXX, XXXXXXXXX, XXXXXXXXX, XXXXXXXXX, XXXXXXXXX"
Customer Fname,object,782,"Cally, Irene, Gillian, Tana, Orli"
Customer Id,int64,20652,"20755, 19492, 19491, 19490, 19489"
Customer Lname,object,1109,"Holloway, Luna, Maldonado, Tate, Hendricks"
Customer Password,object,1,"XXXXXXXXX, XXXXXXXXX, XXXXXXXXX, XXXXXXXXX, XXXXXXXXX"
Customer Segment,object,3,"Consumer, Consumer, Consumer, Home Office, Corporate"
Customer State,object,46,"PR, PR, CA, CA, PR"
Customer Street,object,7458,"5365 Noble Nectar Island, 2679 Rustic Loop, 8510 Round Bear Gate, 3200 Amber Bend, 8671 Iron Anchor Corners"
Customer Zipcode,float64,995,"725.0, 725.0, 95125.0, 90027.0, 725.0"
Department Id,int64,11,"2, 2, 2, 2, 2"
Department Name,object,11,"Fitness, Fitness, Fitness, Fitness, Fitness"
Latitude,float64,11250,"18.2514534, 18.27945137, 37.29223251, 34.12594605, 18.25376892"
Longitude,float64,4487,"-66.03705597, -66.0370636, -121.881279, -118.2910156, -66.03704834"
Market,object,5,"Pacific Asia, Pacific Asia, Pacific Asia, Pacific Asia, Pacific Asia"
Order City,object,3597,"Bekasi, Bikaner, Bikaner, Townsville, Townsville"
Order Country,object,164,"Indonesia, India, India, Australia, Australia"
Order Customer Id,int64,20652,"20755, 19492, 19491, 19490, 19489"
order date (DateOrders),object,65752,"1/31/2018 22:56, 1/13/2018 12:27, 1/13/2018 12:06, 1/13/2018 11:45, 1/13/2018 11:24"
Order Id,int64,65752,"77202, 75939, 75938, 75937, 75936"
Order Item Cardprod Id,int64,118,"1360, 1360, 1360, 1360, 1360"
Order Item Discount,float64,1017,"13.10999966, 16.38999939, 18.03000069, 22.94000053, 29.5"
Order Item Discount Rate,float64,18,"0.039999999, 0.050000001, 0.059999999, 0.07, 0.090000004"
Order Item Id,int64,180519,"180517, 179254, 179253, 179252, 179251"
Order Item Product Price,float64,75,"327.75, 327.75, 327.75, 327.75, 327.75"
Order Item Profit Ratio,float64,162,"0.289999992, -0.800000012, -0.800000012, 0.079999998, 0.449999988"
Order Item Quantity,int64,5,"1, 1, 1, 1, 1"
Sales,float64,193,"327.75, 327.75, 327.75, 327.75, 327.75"
Order Item Total,float64,2927,"314.6400146, 311.3599854, 309.7200012, 304.8099976, 298.25"
Order Profit Per Order,float64,21998,"91.25, -249.0899963, -247.7799988, 22.86000061, 134.2100067"
Order Region,object,23,"Southeast Asia, South Asia, South Asia, Oceania, Oceania"
Order State,object,1089,"Java Occidental, Rajastán, Rajastán, Queensland, Queensland"
Order Status,object,9,"COMPLETE, PENDING, CLOSED, COMPLETE, PENDING_PAYMENT"
Order Zipcode,float64,609,"99301.0, 90049.0, 94110.0, 66212.0, 77041.0"
Product Card Id,int64,118,"1360, 1360, 1360, 1360, 1360"
Product Category Id,int64,51,"73, 73, 73, 73, 73"
Product Description,float64,0,
Product Image,object,118,"http://images.acmesports.sports/Smart+watch , http://images.acmesports.sports/Smart+watch , http://images.acmesports.sports/Smart+watch , http://images.acmesports.sports/Smart+watch , http://images.acmesports.sports/Smart+watch "
Product Name,object,118,"Smart watch , Smart watch , Smart watch , Smart watch , Smart watch "
Product Price,float64,75,"327.75, 327.75, 327.75, 327.75, 327.75"
Product Status,int64,1,"0, 0, 0, 0, 0"
shipping date (DateOrders),object,63701,"2/3/2018 22:56, 1/18/2018 12:27, 1/17/2018 12:06, 1/16/2018 11:45, 1/15/2018 11:24"
Shipping Mode,object,4,"Standard Class, Standard Class, Standard Class, Standard Class, Standard Class"
