column,count,mean,std,min,25%,50%,75%,max
Days for shipping (real),180519.0,3.4976539865609713,1.6237218283741632,0.0,2.0,3.0,5.0,6.0
Days for shipment (scheduled),180519.0,2.931846509231715,1.374449280007978,0.0,2.0,4.0,4.0,4.0
Benefit per order,180519.0,21.974988638594038,104.4335257469866,-4274.97998,7.0,31.52000046,64.80000305,911.7999878
Sales per customer,180519.0,183.10760850778374,120.04367002812562,7.489999771,104.3799973,163.9900055,247.3999939,1939.98999
Late_delivery_risk,180519.0,0.5482913155955883,0.49766386328809237,0.0,0.0,1.0,1.0,1.0
Category Id,180519.0,31.85145053983237,15.640063883389159,2.0,18.0,29.0,45.0,76.0
Customer Id,180519.0,6691.37949467923,4162.918105728271,1.0,3258.5,6457.0,9779.0,20757.0
Customer Zipcode,180516.0,35921.12691395776,37542.46112229252,603.0,725.0,19380.0,78207.0,99205.0
Department Id,180519.0,5.443460245181948,1.6292460350717797,2.0,4.0,5.0,7.0,12.0
Latitude,180519.0,29.719954662073796,9.81364632692288,-33.93755341,18.26543236,33.14486313,39.27961731,48.78193283
Longitude,180519.0,-84.91567468783957,21.433241200283774,-158.0259857,-98.44631195,-76.84790802,-66.37058258,115.2630768
Order Customer Id,180519.0,6691.37949467923,4162.918105728271,1.0,3258.5,6457.0,9779.0,20757.0
Order Id,180519.0,36221.8949030296,21045.37956885943,1.0,18057.0,36140.0,54144.0,77204.0
Order Item Cardprod Id,180519.0,692.5097635151978,336.44680733021875,19.0,403.0,627.0,1004.0,1363.0
Order Item Discount,180519.0,20.664741121945994,21.800900954295905,0.0,5.400000095,14.0,29.98999977,500.0
Order Item Discount Rate,180519.0,0.10166819055202499,0.07041521532547643,0.0,0.039999999,0.100000001,0.159999996,0.25
Order Item Id,180519.0,90260.0,52111.49095928843,1.0,45130.5,90260.0,135389.5,180519.0
Order Item Product Price,180519.0,141.23254992870068,139.73249200374275,9.989999771,50.0,59.99000168,199.9900055,1999.98999
Order Item Profit Ratio,180519.0,0.12064663549026418,0.4667956046074935,-2.75,0.079999998,0.270000011,0.360000014,0.5
Order Item Quantity,180519.0,2.127637533999191,1.453451481422641,1.0,1.0,1.0,3.0,5.0
Sales,180519.0,203.77209608617287,132.27307749970333,9.989999771,119.9800034,199.9199982,299.9500122,1999.98999
Order Item Total,180519.0,183.10760850778374,120.04367002812562,7.489999771,104.3799973,163.9900055,247.3999939,1939.98999
Order Profit Per Order,180519.0,21.974988638594038,104.4335257469866,-4274.97998,7.0,31.52000046,64.80000305,911.7999878
Order Zipcode,24840.0,55426.13232689211,31919.27910072529,1040.0,23464.0,59405.0,90008.0,99301.0
Product Card Id,180519.0,692.5097635151978,336.44680733021875,19.0,403.0,627.0,1004.0,1363.0
Product Category Id,180519.0,31.85145053983237,15.640063883389159,2.0,18.0,29.0,45.0,76.0
Product Description,0.0,,,,,,,
Product Price,180519.0,141.23254992870068,139.73249200374275,9.989999771,50.0,59.99000168,199.9900055,1999.98999
Product Status,180519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
