feature,dtype,feature_group,used_in
Type,object,baseline_feature,advanced_proposed_rgc_models
Sales per customer,float64,baseline_feature,advanced_proposed_rgc_models
Category Name,object,baseline_feature,advanced_proposed_rgc_models
Customer City,object,baseline_feature,advanced_proposed_rgc_models
Customer Country,object,baseline_feature,advanced_proposed_rgc_models
Customer Segment,object,baseline_feature,advanced_proposed_rgc_models
Customer State,object,baseline_feature,advanced_proposed_rgc_models
Department Name,object,baseline_feature,advanced_proposed_rgc_models
Market,object,baseline_feature,advanced_proposed_rgc_models
Order City,object,baseline_feature,advanced_proposed_rgc_models
Order Country,object,baseline_feature,advanced_proposed_rgc_models
Order Item Discount,float64,baseline_feature,advanced_proposed_rgc_models
Order Item Discount Rate,float64,baseline_feature,advanced_proposed_rgc_models
Order Item Product Price,float64,baseline_feature,advanced_proposed_rgc_models
Order Item Quantity,int64,baseline_feature,advanced_proposed_rgc_models
Sales,float64,baseline_feature,advanced_proposed_rgc_models
Order Item Total,float64,baseline_feature,advanced_proposed_rgc_models
Order Region,object,baseline_feature,advanced_proposed_rgc_models
Order State,object,baseline_feature,advanced_proposed_rgc_models
Product Name,object,baseline_feature,advanced_proposed_rgc_models
Product Price,float64,baseline_feature,advanced_proposed_rgc_models
Product Status,int64,baseline_feature,advanced_proposed_rgc_models
Shipping Mode,object,baseline_feature,advanced_proposed_rgc_models
order_year,int64,baseline_feature,advanced_proposed_rgc_models
order_month,int64,baseline_feature,advanced_proposed_rgc_models
order_week,int64,baseline_feature,advanced_proposed_rgc_models
order_day,int64,baseline_feature,advanced_proposed_rgc_models
order_dayofweek,int64,baseline_feature,advanced_proposed_rgc_models
order_quarter,int64,baseline_feature,advanced_proposed_rgc_models
sales_per_unit,float64,baseline_feature,advanced_proposed_rgc_models
qty_lag_1,float64,baseline_feature,advanced_proposed_rgc_models
qty_lag_3,float64,baseline_feature,advanced_proposed_rgc_models
qty_lag_7,float64,baseline_feature,advanced_proposed_rgc_models
qty_roll_mean_3,float64,baseline_feature,advanced_proposed_rgc_models
qty_roll_mean_7,float64,baseline_feature,advanced_proposed_rgc_models
qty_roll_std_7,float64,baseline_feature,advanced_proposed_rgc_models
delay_lag_1,float64,baseline_feature,advanced_proposed_rgc_models
delay_roll_mean_7,float64,baseline_feature,advanced_proposed_rgc_models
delay_roll_std_7,float64,baseline_feature,advanced_proposed_rgc_models
profit_lag_1,float64,baseline_feature,advanced_proposed_rgc_models
profit_roll_mean_7,float64,baseline_feature,advanced_proposed_rgc_models
profit_roll_std_7,float64,baseline_feature,advanced_proposed_rgc_models
rgc_compact_mean_graph_risk,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_compact_max_graph_risk,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_compact_mean_centrality,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_compact_mean_pressure_rank,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_compact_mean_pagerank_rank,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_compact_graph_signal,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_category_name_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_category_name_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_category_name_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_product_name_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_product_name_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_product_name_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_order_region_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_order_region_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_order_region_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_market_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_market_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_market_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_shipping_mode_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_shipping_mode_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_shipping_mode_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_customer_segment_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_customer_segment_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_customer_segment_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_department_name_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_department_name_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_department_name_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_order_country_risk_mean,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_order_country_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_order_country_log_count,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_order_item_quantity,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_order_item_discount_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_sales,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_order_item_total,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_product_price,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_sales_per_unit,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_qty_roll_mean_7,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_interact_graph_signal_x_qty_roll_std_7,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_mean_entity_risk,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_max_entity_risk,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_mean_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_prior_max_high_rate,float64,compact_rgc_feature,advanced_proposed_rgc_models
rgc_fused_graph_prior_signal,float64,compact_rgc_feature,advanced_proposed_rgc_models
