alpha,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm
0.2,0.6157796452626113,0.6329461320748941,XGBoost-RGC,XGBoost
0.15,0.6155921836483427,0.6327265145671523,XGBoost-RGC,XGBoost
0.3,0.6155686701291508,0.6328924445328575,XGBoost-RGC,XGBoost
0.1,0.6153553561153373,0.6323593258297838,XGBoost-RGC,XGBoost
0.4,0.6150816980097957,0.6325464666073377,XGBoost-RGC,XGBoost
0.0,0.6150603087707499,0.6318034757355209,XGBoost-RGC,XGBoost
0.05,0.6148646067185354,0.631769926600517,XGBoost-RGC,XGBoost
0.5,0.6141666627641967,0.6316965540617722,XGBoost-RGC,XGBoost
0.7,0.6134112051969799,0.6309485202957235,XGBoost-RGC,XGBoost
1.0,0.6107899069272756,0.6282133332807803,XGBoost-RGC,XGBoost
0.0,0.6169202124146653,0.6308890464438464,LightGBM-RGC,LightGBM
0.15,0.6169176964551238,0.6316120578783196,LightGBM-RGC,LightGBM
0.1,0.6168443828848428,0.6312172191655371,LightGBM-RGC,LightGBM
0.3,0.6167836562304039,0.6319710353843035,LightGBM-RGC,LightGBM
0.05,0.6166781764895621,0.6308097182650817,LightGBM-RGC,LightGBM
0.4,0.6163680274184634,0.631562605153113,LightGBM-RGC,LightGBM
0.2,0.6161006118328561,0.6310889353133851,LightGBM-RGC,LightGBM
0.5,0.6155912977689694,0.6312086321356664,LightGBM-RGC,LightGBM
0.7,0.6150276070942957,0.6305066583257398,LightGBM-RGC,LightGBM
1.0,0.6119884274941794,0.6274745567837235,LightGBM-RGC,LightGBM
0.05,0.6174789600660076,0.633641809496018,CatBoost-RGC,CatBoost
0.1,0.6174523480292282,0.6338234698646241,CatBoost-RGC,CatBoost
0.2,0.6174171527023752,0.6339072489996768,CatBoost-RGC,CatBoost
0.15,0.6173974967589506,0.6338983682185094,CatBoost-RGC,CatBoost
0.0,0.6173181555574826,0.6333798486657561,CatBoost-RGC,CatBoost
0.3,0.6163151960103416,0.6330199411396982,CatBoost-RGC,CatBoost
0.4,0.6160173568518091,0.6329072151924842,CatBoost-RGC,CatBoost
0.5,0.6152725908957541,0.6322807663340694,CatBoost-RGC,CatBoost
0.7,0.6137252019316463,0.6310947936999457,CatBoost-RGC,CatBoost
1.0,0.6125338189207867,0.6300398704000935,CatBoost-RGC,CatBoost
