alpha,w_low,w_moderate,w_high,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
0.85,1.15,1.3,1.15,0.9939897264957844,0.9940112723008454,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.3,1.0,0.993916884050526,0.9939423808316095,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.3,1.3,0.9939153328503272,0.9939318145762738,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.3,1.0,0.9938800244287025,0.9939060443937388,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.3,1.15,0.9938795911908151,0.9939019173019683,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.15,0.85,0.99387909515972,0.9939071680431845,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.85,0.85,0.9938790197647891,0.9938962561025839,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.3,1.3,0.9938787956168831,0.9938960399631259,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.3,1.5,0.9938770357103786,0.9938840043730797,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.15,1.5,0.9938747884102432,0.9938763120142616,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.7,1.0,0.9938715722068027,0.9938649677947451,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.85,0.7,0.9938435369380406,0.9938690165853382,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.15,1.0,0.9938419565932084,0.9938649542664714,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.15,1.15,0.9938409422014617,0.9938576075929183,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.85,1.0,0.9938407243317963,0.9938484458993897,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.15,0.85,0.9938402733204633,0.9938671149717117,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.0,1.3,0.993835906578653,0.9938362589427889,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.15,1.5,0.993835906578653,0.9938362589427889,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,0.85,1.15,0.9938356974292861,0.9938347896080783,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.15,1.3,1.0,0.9938050287683429,0.993832744920371,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.15,1.0,0.9938046912190264,0.9938277103186128,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,1.0,1.0,0.9938038270401218,0.9938206445574211,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.3,1.5,1.5,0.9938036664937661,0.9938203636450598,XGBoost-RGC,XGBoost,RGC-RiskIndicator
