candidate_feature_set,feature,dtype,feature_group,strict_forbidden
RGC-StrictContext,Type,object,baseline_or_proxy_feature,False
RGC-StrictContext,Sales per customer,float64,baseline_or_proxy_feature,False
RGC-StrictContext,Category Name,object,baseline_or_proxy_feature,False
RGC-StrictContext,Customer City,object,baseline_or_proxy_feature,False
RGC-StrictContext,Customer Country,object,baseline_or_proxy_feature,False
RGC-StrictContext,Customer Segment,object,baseline_or_proxy_feature,False
RGC-StrictContext,Customer State,object,baseline_or_proxy_feature,False
RGC-StrictContext,Department Name,object,baseline_or_proxy_feature,False
RGC-StrictContext,Market,object,baseline_or_proxy_feature,False
RGC-StrictContext,Order City,object,baseline_or_proxy_feature,False
RGC-StrictContext,Order Country,object,baseline_or_proxy_feature,False
RGC-StrictContext,Order Item Discount,float64,baseline_or_proxy_feature,False
RGC-StrictContext,Order Item Discount Rate,float64,baseline_or_proxy_feature,False
RGC-StrictContext,Order Item Product Price,float64,baseline_or_proxy_feature,False
RGC-StrictContext,Order Item Quantity,int64,baseline_or_proxy_feature,False
RGC-StrictContext,Sales,float64,baseline_or_proxy_feature,False
RGC-StrictContext,Order Item Total,float64,baseline_or_proxy_feature,False
RGC-StrictContext,Order Region,object,baseline_or_proxy_feature,False
RGC-StrictContext,Order State,object,baseline_or_proxy_feature,False
RGC-StrictContext,Product Name,object,baseline_or_proxy_feature,False
RGC-StrictContext,Product Price,float64,baseline_or_proxy_feature,False
RGC-StrictContext,Product Status,int64,baseline_or_proxy_feature,False
RGC-StrictContext,Shipping Mode,object,baseline_or_proxy_feature,False
RGC-StrictContext,order_year,int64,baseline_or_proxy_feature,False
RGC-StrictContext,order_month,int64,baseline_or_proxy_feature,False
RGC-StrictContext,order_week,int64,baseline_or_proxy_feature,False
RGC-StrictContext,order_day,int64,baseline_or_proxy_feature,False
RGC-StrictContext,order_dayofweek,int64,baseline_or_proxy_feature,False
RGC-StrictContext,order_quarter,int64,baseline_or_proxy_feature,False
RGC-StrictContext,sales_per_unit,float64,baseline_or_proxy_feature,False
RGC-StrictContext,qty_lag_1,float64,baseline_or_proxy_feature,False
RGC-StrictContext,qty_lag_3,float64,baseline_or_proxy_feature,False
RGC-StrictContext,qty_lag_7,float64,baseline_or_proxy_feature,False
RGC-StrictContext,qty_roll_mean_3,float64,baseline_or_proxy_feature,False
RGC-StrictContext,qty_roll_mean_7,float64,baseline_or_proxy_feature,False
RGC-StrictContext,qty_roll_std_7,float64,baseline_or_proxy_feature,False
RGC-StrictContext,delay_lag_1,float64,baseline_or_proxy_feature,False
RGC-StrictContext,delay_roll_mean_7,float64,baseline_or_proxy_feature,False
RGC-StrictContext,delay_roll_std_7,float64,baseline_or_proxy_feature,False
RGC-StrictContext,profit_lag_1,float64,baseline_or_proxy_feature,False
RGC-StrictContext,profit_roll_mean_7,float64,baseline_or_proxy_feature,False
RGC-StrictContext,profit_roll_std_7,float64,baseline_or_proxy_feature,False
RGC-StrictContext,buyer_agent_key,object,baseline_or_proxy_feature,False
RGC-StrictContext,supplier_proxy_key,object,baseline_or_proxy_feature,False
RGC-StrictContext,Days for shipment (scheduled),int64,baseline_or_proxy_feature,False
RGC-StrictContext,profit_margin,float64,baseline_or_proxy_feature,False
RGC-StrictContext,rgc_graph_mean_risk,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_max_risk,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_std_risk,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_mean_centrality,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_max_centrality,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_pressure_rank,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_pagerank_rank,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_degree_rank,float64,rgc_feature,False
RGC-StrictContext,rgc_graph_signal,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_mean_risk,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_max_risk,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_std_risk,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_mean_high,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_max_high,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_mean_moderate,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_mean_low,float64,rgc_feature,False
RGC-StrictContext,rgc_prior_mean_log_count,float64,rgc_feature,False
RGC-StrictContext,rgc_proxy_discount_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_proxy_quantity_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_proxy_sales_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_proxy_order_value_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_proxy_schedule_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_proxy_profit_stress,float64,rgc_feature,False
RGC-StrictContext,rgc_proxy_operational_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_context_signal,float64,rgc_feature,False
RGC-StrictContext,rgc_interact_graph_x_rgc_proxy_operational_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_interact_graph_x_rgc_proxy_profit_stress,float64,rgc_feature,False
RGC-StrictContext,rgc_interact_graph_x_rgc_proxy_discount_pressure,float64,rgc_feature,False
RGC-StrictContext,rgc_interact_graph_x_rgc_context_signal,float64,rgc_feature,False
RGC-ProxyRiskContext,Type,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Sales per customer,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Category Name,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Customer City,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Customer Country,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Customer Segment,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Customer State,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Department Name,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Market,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order City,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order Country,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order Item Discount,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order Item Discount Rate,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order Item Product Price,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order Item Quantity,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Sales,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order Item Total,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order Region,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Order State,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Product Name,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Product Price,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Product Status,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Shipping Mode,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,order_year,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,order_month,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,order_week,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,order_day,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,order_dayofweek,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,order_quarter,int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,sales_per_unit,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,qty_lag_1,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,qty_lag_3,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,qty_lag_7,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,qty_roll_mean_3,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,qty_roll_mean_7,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,qty_roll_std_7,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,delay_lag_1,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,delay_roll_mean_7,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,delay_roll_std_7,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,profit_lag_1,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,profit_roll_mean_7,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,profit_roll_std_7,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,buyer_agent_key,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,supplier_proxy_key,object,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,Days for shipment (scheduled),int64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,profit_margin,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,demand_volatility_risk,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,anomaly_risk,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,shortage_exposure_risk,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,profit_loss_risk,float64,baseline_or_proxy_feature,False
RGC-ProxyRiskContext,rgc_graph_mean_risk,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_max_risk,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_std_risk,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_mean_centrality,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_max_centrality,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_pressure_rank,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_pagerank_rank,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_degree_rank,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_graph_signal,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_prior_mean_risk,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_prior_max_risk,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_prior_std_risk,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_prior_mean_high,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_prior_max_high,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_prior_mean_moderate,float64,rgc_feature,False
RGC-ProxyRiskContext,rgc_prior_mean_low,float64,rgc_feature,False
