alpha,w_low,w_moderate,w_high,valid_accuracy,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
0.7,0.8,1.0,0.9,0.6475736760469754,0.6411810861949974,0.6467935514467786,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.1,1.0,0.6480168402393086,0.6411270011154406,0.6472165801389508,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.35,1.0,0.6455425068321147,0.6410174916320666,0.6452748925272945,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.2,1.1,0.6483861437329197,0.6409752655948436,0.647561274755997,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.2,1.1,0.6459856710244479,0.6408884869215479,0.6451274130296137,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.35,1.2,0.6473890243001699,0.6408854441762695,0.6466479323860693,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.35,1.0,0.6452470640372258,0.6408795249171154,0.6449980734550982,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.2,0.9,0.6458379496270035,0.6407317241449414,0.6455429167226359,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.1,0.8,0.644951621242337,0.640719459130109,0.6447384541205133,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.1,0.8,0.6449885515916981,0.6406924959624749,0.6447719814347698,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.9,1.1,1.0,0.6480537705886698,0.6406606514032606,0.6471958068418181,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.1,1.0,0.6501218701528917,0.6406539490613535,0.6493505457166836,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.35,1.2,0.6469827904571978,0.6406276692750376,0.6462677004267418,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.35,1.0,0.6449146908929758,0.6406227365762018,0.6446619056414806,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.2,1.1,0.6478321884925031,0.6405728792834153,0.6470300358458021,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.2,0.9,0.6454317157840314,0.6405503622043679,0.6451471704998655,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.2,1.1,0.6503803825984193,0.6405096176261876,0.64957912230677,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.2,1.0,0.6463549745180589,0.6405091131764862,0.6458421174554261,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.1,0.8,0.644951621242337,0.6404930867653895,0.6447261157973582,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.1,1.0,0.6472043725533644,0.640486014155714,0.6464242879084817,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.2,0.9,0.6454317157840314,0.640480206939866,0.6451540848945027,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.1,1.35,1.2,0.647462884998892,0.6404320275606911,0.6466695024114567,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.0,1.2,1.1,0.6483492133835586,0.6404210087205223,0.6474660135631473,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.1,0.9,0.645690228229559,0.6404029674707198,0.64522870658317,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.9,1.2,1.1,0.6459856710244479,0.6403561238998897,0.6450677103104542,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.2,1.35,1.1,0.6475367456976143,0.6403268108518079,0.6470909019080772,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.0,0.8,0.6476106063963365,0.640293260087022,0.6471993570001012,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.2,1.35,1.0,0.6466134869635867,0.6402829432457259,0.6463632191307148,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.35,1.1,0.6453947854346702,0.6402606907289737,0.6449439142397941,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.8,0.9,0.8,0.648829307925253,0.6402439134045986,0.6481059541173634,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.2,1.35,1.2,0.648829307925253,0.6402439134045986,0.6481059541173634,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.35,1.2,0.6445823177487259,0.6402311374718236,0.6438078659066394,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.2,0.9,0.6431051037742817,0.6402229366435015,0.642810073960725,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.1,1.0,0.6469089297584755,0.6401995668012437,0.6461350009673231,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.2,1.35,1.0,0.6465396262648645,0.6401907197008408,0.6462808227367218,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.8,1.0,0.9,0.6463180441686979,0.6401694226748214,0.6455605548661153,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.2,1.0,0.6434744072678927,0.6400959488292955,0.6429373950129292,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.2,1.35,1.0,0.6465765566142255,0.6400893074911362,0.646300780353318,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.2,1.1,0.6472782332520866,0.6400642052772074,0.6464778805643938,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.35,1.1,0.645653297880198,0.6400617522589345,0.6451445734703789,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.2,1.0,0.6482384223354752,0.6400133014942851,0.6477255017714346,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.35,1.1,0.6453578550853091,0.6400131744467189,0.6448895135064802,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.2,1.35,0.9,0.645690228229559,0.6400098961381154,0.6455948920332745,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.2,0.8,0.6441022232070316,0.6400081987053786,0.6440205000972026,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.8,1.0,0.8,0.6444345963512815,0.6399720099716386,0.6440244489676837,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.8,1.1,1.0,0.6445453873993648,0.6399719249225169,0.643654480433078,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.8,1.0,0.9,0.6467981387103922,0.6399700372573842,0.6459582297590598,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.35,0.9,0.643548267966615,0.6399354533488809,0.6434700091585541,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.1,0.8,0.6466504173129478,0.6399331438881666,0.6464259381311341,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.1,0.9,0.6482014919861142,0.6399312623633001,0.6476921687758886,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.2,1.0,0.6439545018095871,0.6399242250852966,0.6433734451063128,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.35,1.2,0.6462441834699756,0.6399160531065764,0.6455272942466076,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.2,1.1,0.6446931087968092,0.6399100247700708,0.6438597007123447,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.8,1.0,0.8,0.6449885515916981,0.6398962831929197,0.644530384633942,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.35,1.0,0.6423295664376985,0.6398959212872702,0.6420575109372112,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.1,0.9,0.6456163675308368,0.6398884683253329,0.6450983621477023,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.0,0.9,0.6489770293226974,0.6398854622051975,0.6482197088278987,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.1,0.9,0.6476844670950587,0.6398713767217498,0.6472170160731763,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.2,0.9,0.6472782332520866,0.6398599770154275,0.6469835007561132,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.8,0.9,0.8,0.6483122830341975,0.6398573477381571,0.6476140550873639,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.2,1.35,1.2,0.6483122830341975,0.6398573477381571,0.6476140550873639,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.8,1.0,0.9,0.6458379496270035,0.6398484149251451,0.6450770967352325,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.2,1.0,0.6461333924218923,0.6398184499183176,0.6455743357667516,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.2,0.9,0.6424034271364207,0.6398151433120521,0.6421304429045666,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.2,1.35,1.1,0.6471674422040032,0.6397864518815303,0.6466986478869772,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.8,0.9,0.8,0.6482384223354752,0.6397732339184639,0.6475436942834174,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.2,1.35,1.2,0.6482384223354752,0.6397732339184639,0.6475436942834174,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.1,0.9,0.6452470640372258,0.6397690060186828,0.6447685333757254,XGBoost-RGC,XGBoost,RGC-StrictContext
