episode,steps,epsilon,total_reward,mean_reward,q_states
1,6000,0.35,6622.308856562209,1.1037181427603682,2152
2,6000,0.33749999999999997,7722.811327239089,1.2871352212065148,2152
3,6000,0.32499999999999996,8097.703790724905,1.3496172984541508,2152
4,6000,0.3125,8199.132966002566,1.3665221610004277,2152
5,6000,0.3,8268.605587594255,1.378100931265709,2152
6,6000,0.2875,8343.093555325622,1.3905155925542703,2152
7,6000,0.27499999999999997,8344.387344767578,1.3907312241279297,2152
8,6000,0.2625,8358.157873363862,1.3930263122273103,2152
9,6000,0.25,8448.332576666353,1.408055429444392,2152
10,6000,0.2375,8447.239578782533,1.4078732631304223,2152
11,6000,0.22500000000000003,8476.672147938794,1.4127786913231324,2152
12,6000,0.21249999999999997,8468.881098780948,1.411480183130158,2152
13,6000,0.2,8474.911265981966,1.4124852109969943,2152
14,6000,0.1875,8484.366702026897,1.4140611170044828,2152
15,6000,0.175,8491.094849282537,1.415182474880423,2152
16,6000,0.16249999999999998,8551.098358278396,1.425183059713066,2152
17,6000,0.15,8559.014308778707,1.4265023847964513,2152
18,6000,0.1375,8546.973691958452,1.4244956153264088,2152
19,6000,0.125,8605.256618501593,1.4342094364169322,2152
20,6000,0.1125,8621.59546192121,1.4369325769868684,2152
21,6000,0.1,8590.60416839223,1.431767361398705,2152
22,6000,0.0875,8635.959463483276,1.4393265772472126,2152
23,6000,0.075,8634.969508363789,1.439161584727298,2152
24,6000,0.0625,8655.479552273331,1.4425799253788885,2152
25,6000,0.05,8657.185783894258,1.4428642973157095,2152
