data_split,scenario_name,policy_name,action_id,action_name,action_count,action_share
test,normal,sthg_cmappo_adaptive_hybrid_policy,5,sthg_cmappo_adaptive_hybrid_policy,27078,1.0
test,normal,sthg_cmappo_cost_resilient_policy,5,sthg_cmappo_cost_resilient_policy,27078,1.0
test,normal,sthg_cmappo_pareto_policy,1,balanced_procurement,1326,0.04896964325282517
test,normal,sthg_cmappo_pareto_policy,2,resilience_priority_procurement,8294,0.3063003176010045
test,normal,sthg_cmappo_pareto_policy,3,service_priority_procurement,36,0.0013294925769997785
test,normal,sthg_cmappo_pareto_policy,4,risk_avoidance_procurement,17422,0.6434005465691706
test,normal,sthg_cmappo_risk_service_policy,5,sthg_cmappo_risk_service_policy,27078,1.0
train,normal,sthg_cmappo_adaptive_hybrid_policy,5,sthg_cmappo_adaptive_hybrid_policy,126363,1.0
train,normal,sthg_cmappo_cost_resilient_policy,5,sthg_cmappo_cost_resilient_policy,126363,1.0
train,normal,sthg_cmappo_pareto_policy,1,balanced_procurement,5254,0.041578626654954376
train,normal,sthg_cmappo_pareto_policy,2,resilience_priority_procurement,38580,0.305310890054842
train,normal,sthg_cmappo_pareto_policy,3,service_priority_procurement,138,0.001092091830678284
train,normal,sthg_cmappo_pareto_policy,4,risk_avoidance_procurement,82391,0.6520183914595253
train,normal,sthg_cmappo_risk_service_policy,5,sthg_cmappo_risk_service_policy,126363,1.0
valid,normal,sthg_cmappo_adaptive_hybrid_policy,5,sthg_cmappo_adaptive_hybrid_policy,27078,1.0
valid,normal,sthg_cmappo_cost_resilient_policy,5,sthg_cmappo_cost_resilient_policy,27078,1.0
valid,normal,sthg_cmappo_pareto_policy,1,balanced_procurement,1212,0.04475958342565921
valid,normal,sthg_cmappo_pareto_policy,2,resilience_priority_procurement,8394,0.309993352537115
valid,normal,sthg_cmappo_pareto_policy,3,service_priority_procurement,17,0.0006278159391387842
valid,normal,sthg_cmappo_pareto_policy,4,risk_avoidance_procurement,17455,0.644619248098087
valid,normal,sthg_cmappo_risk_service_policy,5,sthg_cmappo_risk_service_policy,27078,1.0
