driver_feature,explained_outcome,spearman_correlation,abs_spearman_correlation,interpretation
dt_base_risk,cost_delta,0.7006714126027955,0.7006714126027955,dt_base_risk has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
dt_base_delay_prob,cost_delta,0.6701824013321638,0.6701824013321638,dt_base_delay_prob has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
cost_sensitivity,cost_delta,-0.5887113648123002,0.5887113648123002,cost_sensitivity has a negative monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
risk_intensity,cost_delta,0.5517296576136628,0.5517296576136628,risk_intensity has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
resilience_need,cost_delta,0.5258152064054462,0.5258152064054462,resilience_need has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
dt_service_importance,cost_delta,0.4395425358714989,0.4395425358714989,dt_service_importance has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
service_intensity,cost_delta,0.42928068565857463,0.42928068565857463,service_intensity has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
dt_demand_pressure,cost_delta,-0.3807744067084536,0.3807744067084536,dt_demand_pressure has a negative monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
dt_cost_pressure,cost_delta,-0.3281747702681463,0.3281747702681463,dt_cost_pressure has a negative monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
dt_context_signal,cost_delta,0.2861986516244266,0.2861986516244266,dt_context_signal has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
dt_profit_stress,cost_delta,0.006186370186090107,0.006186370186090107,dt_profit_stress has a positive monotonic association with cost_delta. The value is computed from actual test-set decision outcomes.
service_intensity,delay_reduction,0.9529807405960301,0.9529807405960301,service_intensity has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_service_importance,delay_reduction,0.9487877208299312,0.9487877208299312,dt_service_importance has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
risk_intensity,delay_reduction,0.9219090054193935,0.9219090054193935,risk_intensity has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
resilience_need,delay_reduction,0.9070277141997455,0.9070277141997455,resilience_need has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_base_delay_prob,delay_reduction,0.9037582403012719,0.9037582403012719,dt_base_delay_prob has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_base_risk,delay_reduction,0.841916046464185,0.841916046464185,dt_base_risk has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
cost_sensitivity,delay_reduction,-0.47702818178721335,0.47702818178721335,cost_sensitivity has a negative monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_context_signal,delay_reduction,0.41972096791260516,0.41972096791260516,dt_context_signal has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_demand_pressure,delay_reduction,0.30824147363175053,0.30824147363175053,dt_demand_pressure has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_cost_pressure,delay_reduction,0.14780998336660658,0.14780998336660658,dt_cost_pressure has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_profit_stress,delay_reduction,0.0008732437165693453,0.0008732437165693453,dt_profit_stress has a positive monotonic association with delay_reduction. The value is computed from actual test-set decision outcomes.
dt_profit_stress,profit_delta,-0.5929625959468586,0.5929625959468586,dt_profit_stress has a negative monotonic association with profit_delta. The value is computed from actual test-set decision outcomes.
service_intensity,profit_delta,0.5068297478580344,0.5068297478580344,service_intensity has a positive monotonic association with profit_delta. The value is computed from actual test-set decision outcomes.
dt_service_importance,profit_delta,0.4923628727866721,0.4923628727866721,dt_service_importance has a positive monotonic association with profit_delta. The value is computed from actual test-set decision outcomes.
cost_sensitivity,profit_delta,-0.41462391560781364,0.41462391560781364,cost_sensitivity has a negative monotonic association with profit_delta. The value is computed from actual test-set decision outcomes.
dt_demand_pressure,profit_delta,0.40877593278532,0.40877593278532,dt_demand_pressure has a positive monotonic association with profit_delta. The value is computed from actual test-set decision outcomes.
