explainability_type,target_variable,feature_name,spearman_correlation,abs_spearman_correlation,interpretation,source
State-feature Spearman correlation,dt_base_cost,dt_cost_graph_pressure,0.955753310474957,0.955753310474957,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_freight_pressure,0.9190201127359459,0.9190201127359459,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_distance_pressure,0.848100340227971,0.848100340227971,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_cost_sensitivity,0.8107258642229153,0.8107258642229153,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_profit_proxy,-0.7450495722651929,0.7450495722651929,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_structural_exposure,-0.6487081450864306,0.6487081450864306,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_base_delay,0.5662268328823881,0.5662268328823881,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_risk_delay_pressure,0.519706414532195,0.519706414532195,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_coordination_opportunity,-0.49695916224133013,0.49695916224133013,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_state_pressure_index,0.48440395485888577,0.48440395485888577,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_base_resilience,0.46344452123534624,0.46344452123534624,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_resilience_gap,-0.46344452123534624,0.46344452123534624,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_low_pressure_flag,-0.461819499095123,0.461819499095123,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_base_risk,0.39898405684203825,0.39898405684203825,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_high_pressure_flag,0.32834986391677273,0.32834986391677273,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_value_pressure,0.32028069261298003,0.32028069261298003,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_resilience_pressure,-0.3151466560873757,0.3151466560873757,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_cost,dt_entity_graph_risk,0.28310593123567307,0.28310593123567307,weak_positive,Step 20 actual digital-twin state dataset
