table_name,column_name,value,count,percent
customers,customer_state,SP,41746,41.9807
customers,customer_state,RJ,12852,12.9242
customers,customer_state,MG,11635,11.7004
customers,customer_state,RS,5466,5.4967
customers,customer_state,PR,5045,5.0734
customers,customer_state,SC,3637,3.6574
customers,customer_state,BA,3380,3.399
customers,customer_state,DF,2140,2.152
customers,customer_state,ES,2033,2.0444
customers,customer_state,GO,2020,2.0314
customers,customer_state,PE,1652,1.6613
customers,customer_state,CE,1336,1.3435
customers,customer_state,PA,975,0.9805
customers,customer_state,MT,907,0.9121
customers,customer_state,MA,747,0.7512
customers,customer_state,MS,715,0.719
customers,customer_state,PB,536,0.539
customers,customer_state,PI,495,0.4978
customers,customer_state,RN,485,0.4877
customers,customer_state,AL,413,0.4153
customers,customer_state,SE,350,0.352
customers,customer_state,TO,280,0.2816
customers,customer_state,RO,253,0.2544
customers,customer_state,AM,148,0.1488
customers,customer_state,AC,81,0.0815
customers,customer_state,AP,68,0.0684
customers,customer_state,RR,46,0.0463
