table_name,column_name,dtype,missing_count,missing_percent,unique_values
order_reviews,review_comment_title,object,87656,88.3415,4527
order_reviews,review_comment_message,object,58247,58.7025,36159
orders,order_delivered_customer_date,object,2965,2.9817,95664
products,product_category_name,object,610,1.8512,73
products,product_name_lenght,float64,610,1.8512,66
products,product_description_lenght,float64,610,1.8512,2960
products,product_photos_qty,float64,610,1.8512,19
orders,order_delivered_carrier_date,object,1783,1.793,81018
orders,order_approved_at,object,160,0.1609,90733
products,product_weight_g,float64,2,0.0061,2204
products,product_length_cm,float64,2,0.0061,99
products,product_height_cm,float64,2,0.0061,102
products,product_width_cm,float64,2,0.0061,95
customers,customer_id,object,0,0.0,99441
customers,customer_unique_id,object,0,0.0,96096
customers,customer_zip_code_prefix,int64,0,0.0,14994
customers,customer_city,object,0,0.0,4119
customers,customer_state,object,0,0.0,27
geolocation,geolocation_zip_code_prefix,int64,0,0.0,19015
geolocation,geolocation_lat,float64,0,0.0,717360
geolocation,geolocation_lng,float64,0,0.0,717613
geolocation,geolocation_city,object,0,0.0,8011
geolocation,geolocation_state,object,0,0.0,27
order_items,order_id,object,0,0.0,98666
order_items,order_item_id,int64,0,0.0,21
order_items,product_id,object,0,0.0,32951
order_items,seller_id,object,0,0.0,3095
order_items,shipping_limit_date,object,0,0.0,93318
order_items,price,float64,0,0.0,5968
order_items,freight_value,float64,0,0.0,6999
order_payments,order_id,object,0,0.0,99440
order_payments,payment_sequential,int64,0,0.0,29
order_payments,payment_type,object,0,0.0,5
order_payments,payment_installments,int64,0,0.0,24
order_payments,payment_value,float64,0,0.0,29077
order_reviews,review_id,object,0,0.0,98410
order_reviews,order_id,object,0,0.0,98673
order_reviews,review_score,int64,0,0.0,5
order_reviews,review_creation_date,object,0,0.0,636
order_reviews,review_answer_timestamp,object,0,0.0,98248
orders,order_id,object,0,0.0,99441
orders,customer_id,object,0,0.0,99441
orders,order_status,object,0,0.0,8
orders,order_purchase_timestamp,object,0,0.0,98875
orders,order_estimated_delivery_date,object,0,0.0,459
products,product_id,object,0,0.0,32951
sellers,seller_id,object,0,0.0,3095
sellers,seller_zip_code_prefix,int64,0,0.0,2246
sellers,seller_city,object,0,0.0,611
sellers,seller_state,object,0,0.0,23
category_translation,product_category_name,object,0,0.0,71
category_translation,product_category_name_english,object,0,0.0,71
