table_name,column_name,value,count,percent
products,product_category_name,cama_mesa_banho,3029,9.1924
products,product_category_name,esporte_lazer,2867,8.7008
products,product_category_name,moveis_decoracao,2657,8.0635
products,product_category_name,beleza_saude,2444,7.4171
products,product_category_name,utilidades_domesticas,2335,7.0863
products,product_category_name,automotivo,1900,5.7661
products,product_category_name,informatica_acessorios,1639,4.9741
products,product_category_name,brinquedos,1411,4.2821
products,product_category_name,relogios_presentes,1329,4.0333
products,product_category_name,telefonia,1134,3.4415
products,product_category_name,bebes,919,2.789
products,product_category_name,perfumaria,868,2.6342
products,product_category_name,papelaria,849,2.5766
products,product_category_name,fashion_bolsas_e_acessorios,849,2.5766
products,product_category_name,cool_stuff,789,2.3945
products,product_category_name,ferramentas_jardim,753,2.2852
products,product_category_name,pet_shop,719,2.182
products,product_category_name,,610,1.8512
products,product_category_name,eletronicos,517,1.569
products,product_category_name,construcao_ferramentas_construcao,400,1.2139
products,product_category_name,eletrodomesticos,370,1.1229
products,product_category_name,malas_acessorios,349,1.0591
products,product_category_name,consoles_games,317,0.962
products,product_category_name,moveis_escritorio,309,0.9378
products,product_category_name,instrumentos_musicais,289,0.8771
products,product_category_name,eletroportateis,231,0.701
products,product_category_name,casa_construcao,225,0.6828
products,product_category_name,livros_interesse_geral,216,0.6555
products,product_category_name,fashion_calcados,173,0.525
products,product_category_name,moveis_sala,156,0.4734
products,product_category_name,climatizacao,124,0.3763
products,product_category_name,livros_tecnicos,123,0.3733
products,product_category_name,telefonia_fixa,116,0.352
products,product_category_name,casa_conforto,111,0.3369
products,product_category_name,market_place,104,0.3156
products,product_category_name,alimentos_bebidas,104,0.3156
products,product_category_name,fashion_roupa_masculina,95,0.2883
products,product_category_name,moveis_cozinha_area_de_servico_jantar_e_jardim,94,0.2853
products,product_category_name,sinalizacao_e_seguranca,93,0.2822
products,product_category_name,construcao_ferramentas_seguranca,91,0.2762
products,product_category_name,eletrodomesticos_2,90,0.2731
products,product_category_name,construcao_ferramentas_jardim,88,0.2671
products,product_category_name,alimentos,82,0.2489
products,product_category_name,bebidas,81,0.2458
products,product_category_name,construcao_ferramentas_iluminacao,78,0.2367
products,product_category_name,agro_industria_e_comercio,74,0.2246
products,product_category_name,industria_comercio_e_negocios,68,0.2064
products,product_category_name,artigos_de_natal,65,0.1973
products,product_category_name,audio,58,0.176
products,product_category_name,artes,55,0.1669
