table_name,column_name,value,count,percent
sellers,seller_state,SP,1849,59.7415
sellers,seller_state,PR,349,11.2763
sellers,seller_state,MG,244,7.8837
sellers,seller_state,SC,190,6.1389
sellers,seller_state,RJ,171,5.525
sellers,seller_state,RS,129,4.168
sellers,seller_state,GO,40,1.2924
sellers,seller_state,DF,30,0.9693
sellers,seller_state,ES,23,0.7431
sellers,seller_state,BA,19,0.6139
sellers,seller_state,CE,13,0.42
sellers,seller_state,PE,9,0.2908
sellers,seller_state,PB,6,0.1939
sellers,seller_state,MS,5,0.1616
sellers,seller_state,RN,5,0.1616
sellers,seller_state,MT,4,0.1292
sellers,seller_state,RO,2,0.0646
sellers,seller_state,SE,2,0.0646
sellers,seller_state,AC,1,0.0323
sellers,seller_state,PI,1,0.0323
sellers,seller_state,MA,1,0.0323
sellers,seller_state,AM,1,0.0323
sellers,seller_state,PA,1,0.0323
