column_name,dtype,role,missing_count,unique_values
order_id,object,identifier,0,98666
order_item_id,int64,identifier,0,21
product_id,object,identifier,0,32951
seller_id,object,identifier,0,3095
shipping_limit_date,datetime64[ns],date_or_time,0,93318
price,float64,cost_freight_feature,0,5968
freight_value,float64,cost_freight_feature,0,6999
product_category_name,string,categorical_context,0,74
product_name_lenght,float64,product_feature,0,66
product_description_lenght,float64,product_feature,0,2960
product_photos_qty,float64,product_feature,0,19
product_weight_g,float64,product_feature,0,2204
product_length_cm,float64,product_feature,0,99
product_height_cm,float64,product_feature,0,102
product_width_cm,float64,product_feature,0,95
product_category_name_english,string,categorical_context,0,74
customer_id,object,identifier,0,98666
order_status,string,categorical_context,0,7
order_purchase_timestamp,datetime64[ns],date_or_time,0,98112
order_approved_at,datetime64[ns],date_or_time,0,90175
order_delivered_carrier_date,datetime64[ns],date_or_time,0,81018
order_delivered_customer_date,datetime64[ns],date_or_time,0,95665
order_estimated_delivery_date,datetime64[ns],date_or_time,0,450
customer_unique_id,object,identifier,0,95420
customer_zip_code_prefix,int64,customer_feature,0,14976
customer_city,string,categorical_context,0,4110
customer_state,string,categorical_context,0,27
seller_zip_code_prefix,int64,seller_feature,0,2246
seller_city,string,categorical_context,0,608
seller_state,string,categorical_context,0,23
payment_value_sum,float64,payment_feature,0,27845
payment_value_mean,float64,payment_feature,0,28927
payment_value_max,float64,payment_feature,0,27611
payment_installments_mean,float64,payment_feature,0,51
payment_installments_max,float64,payment_feature,0,24
payment_count,float64,payment_feature,0,20
payment_type_count,float64,payment_feature,0,2
payment_type_dominant,string,categorical_context,0,5
review_score_mean,float64,engineered_feature,0,11
review_score_min,float64,engineered_feature,0,5
review_score_max,float64,engineered_feature,0,5
review_count,float64,engineered_feature,0,3
review_comment_title_count,float64,engineered_feature,0,3
review_comment_message_count,float64,engineered_feature,0,4
review_response_days_mean,float64,engineered_feature,0,81501
review_creation_date_min,datetime64[ns],date_or_time,0,634
review_answer_timestamp_max,datetime64[ns],date_or_time,0,97235
customer_lat,float64,geospatial_feature,0,14816
customer_lng,float64,geospatial_feature,0,14815
