column_name,dtype,missing_before,fill_strategy,missing_after
order_id,object,0,not_required,0
order_item_id,int64,0,not_required,0
product_id,object,0,not_required,0
seller_id,object,0,not_required,0
shipping_limit_date,datetime64[ns],0,not_required,0
price,float64,0,not_required,0
freight_value,float64,0,not_required,0
product_category_name,string,0,not_required,0
product_name_lenght,float64,1603,numeric_median_or_zero:52.0,0
product_description_lenght,float64,1603,numeric_median_or_zero:603.0,0
product_photos_qty,float64,1603,numeric_median_or_zero:1.0,0
product_weight_g,float64,18,numeric_median_or_zero:700.0,0
product_length_cm,float64,18,numeric_median_or_zero:25.0,0
product_height_cm,float64,18,numeric_median_or_zero:13.0,0
product_width_cm,float64,18,numeric_median_or_zero:20.0,0
product_category_name_english,string,0,not_required,0
customer_id,object,0,not_required,0
order_status,string,0,not_required,0
order_purchase_timestamp,datetime64[ns],0,not_required,0
order_approved_at,datetime64[ns],15,sentinel_datetime_1900_01_01_after_missing_flags_created,0
order_delivered_carrier_date,datetime64[ns],1194,sentinel_datetime_1900_01_01_after_missing_flags_created,0
order_delivered_customer_date,datetime64[ns],2454,sentinel_datetime_1900_01_01_after_missing_flags_created,0
order_estimated_delivery_date,datetime64[ns],0,not_required,0
customer_unique_id,object,0,not_required,0
customer_zip_code_prefix,int64,0,not_required,0
customer_city,string,0,not_required,0
customer_state,string,0,not_required,0
seller_zip_code_prefix,int64,0,not_required,0
seller_city,string,0,not_required,0
seller_state,string,0,not_required,0
payment_value_sum,float64,3,numeric_median_or_zero:114.44,0
payment_value_mean,float64,3,numeric_median_or_zero:112.42,0
payment_value_max,float64,3,numeric_median_or_zero:113.2,0
payment_installments_mean,float64,3,numeric_median_or_zero:2.0,0
payment_installments_max,float64,3,numeric_median_or_zero:2.0,0
payment_count,float64,3,numeric_median_or_zero:1.0,0
payment_type_count,float64,3,numeric_median_or_zero:1.0,0
payment_type_dominant,string,0,not_required,0
review_score_mean,float64,942,numeric_median_or_zero:5.0,0
review_score_min,float64,942,numeric_median_or_zero:5.0,0
review_score_max,float64,942,numeric_median_or_zero:5.0,0
review_count,float64,942,numeric_median_or_zero:1.0,0
review_comment_title_count,float64,942,numeric_median_or_zero:0.0,0
review_comment_message_count,float64,942,numeric_median_or_zero:0.0,0
review_response_days_mean,float64,942,numeric_median_or_zero:1.6888888888888889,0
review_creation_date_min,datetime64[ns],942,sentinel_datetime_1900_01_01_after_missing_flags_created,0
review_answer_timestamp_max,datetime64[ns],942,sentinel_datetime_1900_01_01_after_missing_flags_created,0
customer_lat,float64,302,numeric_median_or_zero:-22.930150408703312,0
customer_lng,float64,302,numeric_median_or_zero:-46.63483367692889,0
customer_geo_records,float64,302,numeric_median_or_zero:103.0,0
seller_lat,float64,253,numeric_median_or_zero:-23.42439868040567,0
seller_lng,float64,253,numeric_median_or_zero:-46.7441113627446,0
seller_geo_records,float64,253,numeric_median_or_zero:108.0,0
geo_distance_km,float64,554,numeric_median_or_zero:431.71698920274895,0
geo_distance_missing_flag,int64,0,not_required,0
order_purchase_date,datetime64[ns],0,not_required,0
purchase_year,int32,0,not_required,0
purchase_month,int32,0,not_required,0
purchase_day,int32,0,not_required,0
purchase_dayofweek,int32,0,not_required,0
purchase_hour,int32,0,not_required,0
purchase_quarter,int32,0,not_required,0
purchase_weekofyear,float64,0,not_required,0
purchase_is_weekend,int64,0,not_required,0
is_delivered_status,int64,0,not_required,0
is_canceled_status,int64,0,not_required,0
approved_missing_flag,int64,0,not_required,0
carrier_date_missing_flag,int64,0,not_required,0
customer_delivery_missing_flag,int64,0,not_required,0
approval_time_hours,float64,15,numeric_median_or_zero:0.35055555555555556,0
carrier_dispatch_days,float64,1209,numeric_median_or_zero:1.8384953703703704,0
customer_delivery_days,float64,2454,numeric_median_or_zero:10.184282407407409,0
estimated_delivery_days,float64,0,not_required,0
delivery_delay_days,float64,2454,numeric_median_or_zero:-12.046788194444446,0
shipping_limit_from_purchase_days,float64,0,not_required,0
shipping_limit_from_approval_days,float64,15,numeric_median_or_zero:6.0,0
positive_delivery_delay_days,float64,2454,numeric_median_or_zero:0.0,0
non_delivered_flag,int64,0,not_required,0
late_delivery_flag,int64,0,not_required,0
early_delivery_days,float64,2454,numeric_median_or_zero:12.046788194444446,0
item_total_value,float64,0,not_required,0
freight_ratio,float64,0,not_required,0
payment_value_to_item_value_ratio,float64,0,not_required,0
review_missing_flag,int64,0,not_required,0
review_score_filled,float64,0,not_required,0
low_review_flag,int64,0,not_required,0
high_review_flag,int64,0,not_required,0
product_volume_cm3,float64,0,not_required,0
product_weight_kg,float64,18,numeric_median_or_zero:0.7,0
freight_per_kg,float64,0,not_required,0
freight_per_1000cm3,float64,0,not_required,0
same_seller_customer_state_flag,int64,0,not_required,0
seller_customer_route,object,0,not_required,0
seller_category_key,object,0,not_required,0
customer_category_key,object,0,not_required,0
order_item_count,int64,0,not_required,0
order_seller_count,int64,0,not_required,0
order_category_count,int64,0,not_required,0
seller_historical_late_rate,float64,0,not_required,0
route_historical_late_rate,float64,0,not_required,0
category_historical_late_rate,float64,0,not_required,0
seller_historical_low_review_rate,float64,0,not_required,0
seller_prior_order_item_count,int64,0,not_required,0
product_prior_order_item_count,int64,0,not_required,0
category_prior_order_item_count,int64,0,not_required,0
route_prior_order_item_count,int64,0,not_required,0
category_daily_order_items,int64,0,not_required,0
category_daily_unique_orders,int64,0,not_required,0
category_daily_unique_sellers,int64,0,not_required,0
category_demand_roll_mean_7,float64,0,not_required,0
category_demand_roll_std_7,float64,0,not_required,0
category_demand_roll_mean_14,float64,0,not_required,0
category_demand_roll_std_14,float64,0,not_required,0
delivery_delay_component,float64,0,not_required,0
order_status_component,float64,0,not_required,0
review_service_component,float64,0,not_required,0
freight_cost_component,float64,0,not_required,0
seller_historical_delay_component,float64,0,not_required,0
route_historical_delay_component,float64,0,not_required,0
category_demand_volatility_component,float64,0,not_required,0
payment_complexity_component,float64,0,not_required,0
dataset2_fulfillment_risk_score,float64,0,not_required,0
risk_label,int64,0,not_required,0
risk_label_name,object,0,not_required,0
temporal_split,object,0,not_required,0
