stage,rows,columns
raw_customers,99441,5
raw_geolocation,1000163,5
raw_order_items,112650,7
raw_payments,103886,5
raw_reviews,99224,7
raw_orders,99441,8
raw_products,32951,9
raw_sellers,3095,4
raw_category_translation,71,2
products_translated,32951,10
payment_aggregated_by_order,99440,9
review_aggregated_by_order,98673,10
order_items_plus_products,112650,16
plus_orders,112650,23
plus_customers,112650,27
plus_sellers,112650,30
plus_payment_aggregates,112650,38
plus_review_aggregates,112650,47
plus_geolocation_distance,112650,55
