stage,column_name,dtype,missing_count,missing_percent,unique_values
before_feature_engineering,order_delivered_customer_date,object,2454,2.1784,95664
before_feature_engineering,product_name_lenght,float64,1603,1.423,66
before_feature_engineering,product_description_lenght,float64,1603,1.423,2960
before_feature_engineering,product_photos_qty,float64,1603,1.423,19
before_feature_engineering,order_delivered_carrier_date,object,1194,1.0599,81017
before_feature_engineering,review_score_mean,float64,942,0.8362,11
before_feature_engineering,review_score_min,float64,942,0.8362,5
before_feature_engineering,review_score_max,float64,942,0.8362,5
before_feature_engineering,review_count,float64,942,0.8362,3
before_feature_engineering,review_comment_title_count,float64,942,0.8362,3
before_feature_engineering,review_comment_message_count,float64,942,0.8362,4
before_feature_engineering,review_response_days_mean,float64,942,0.8362,81501
before_feature_engineering,review_creation_date_min,datetime64[ns],942,0.8362,633
before_feature_engineering,review_answer_timestamp_max,datetime64[ns],942,0.8362,97234
before_feature_engineering,geo_distance_km,float64,554,0.4918,93344
before_feature_engineering,customer_lat,float64,302,0.2681,14816
before_feature_engineering,customer_lng,float64,302,0.2681,14815
before_feature_engineering,customer_geo_records,float64,302,0.2681,483
before_feature_engineering,seller_lat,float64,253,0.2246,2239
before_feature_engineering,seller_lng,float64,253,0.2246,2239
before_feature_engineering,seller_geo_records,float64,253,0.2246,408
before_feature_engineering,product_weight_g,float64,18,0.016,2204
before_feature_engineering,product_length_cm,float64,18,0.016,99
before_feature_engineering,product_height_cm,float64,18,0.016,102
before_feature_engineering,product_width_cm,float64,18,0.016,95
before_feature_engineering,order_approved_at,object,15,0.0133,90174
before_feature_engineering,payment_value_sum,float64,3,0.0027,27845
before_feature_engineering,payment_value_mean,float64,3,0.0027,28927
before_feature_engineering,payment_value_max,float64,3,0.0027,27611
before_feature_engineering,payment_installments_mean,float64,3,0.0027,51
before_feature_engineering,payment_installments_max,float64,3,0.0027,24
before_feature_engineering,payment_count,float64,3,0.0027,20
before_feature_engineering,payment_type_count,float64,3,0.0027,2
before_feature_engineering,payment_type_dominant,string,3,0.0027,4
before_feature_engineering,order_id,object,0,0.0,98666
before_feature_engineering,order_item_id,int64,0,0.0,21
before_feature_engineering,product_id,object,0,0.0,32951
before_feature_engineering,seller_id,object,0,0.0,3095
before_feature_engineering,shipping_limit_date,object,0,0.0,93318
before_feature_engineering,price,float64,0,0.0,5968
before_feature_engineering,freight_value,float64,0,0.0,6999
before_feature_engineering,product_category_name,string,0,0.0,74
before_feature_engineering,product_category_name_english,string,0,0.0,74
before_feature_engineering,customer_id,object,0,0.0,98666
before_feature_engineering,order_status,object,0,0.0,7
before_feature_engineering,order_purchase_timestamp,object,0,0.0,98112
before_feature_engineering,order_estimated_delivery_date,object,0,0.0,450
before_feature_engineering,customer_unique_id,object,0,0.0,95420
before_feature_engineering,customer_zip_code_prefix,int64,0,0.0,14976
before_feature_engineering,customer_city,object,0,0.0,4110
before_feature_engineering,customer_state,object,0,0.0,27
before_feature_engineering,seller_zip_code_prefix,int64,0,0.0,2246
before_feature_engineering,seller_city,object,0,0.0,611
before_feature_engineering,seller_state,object,0,0.0,23
before_feature_engineering,geo_distance_missing_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,order_delivered_customer_date,datetime64[ns],2454,2.1784,95664
after_feature_engineering_before_final_fill,customer_delivery_days,float64,2454,2.1784,93809
after_feature_engineering_before_final_fill,delivery_delay_days,float64,2454,2.1784,91915
after_feature_engineering_before_final_fill,positive_delivery_delay_days,float64,2454,2.1784,7755
after_feature_engineering_before_final_fill,early_delivery_days,float64,2454,2.1784,84162
after_feature_engineering_before_final_fill,product_name_lenght,float64,1603,1.423,66
after_feature_engineering_before_final_fill,product_description_lenght,float64,1603,1.423,2960
after_feature_engineering_before_final_fill,product_photos_qty,float64,1603,1.423,19
after_feature_engineering_before_final_fill,carrier_dispatch_days,float64,1209,1.0732,87497
after_feature_engineering_before_final_fill,order_delivered_carrier_date,datetime64[ns],1194,1.0599,81017
after_feature_engineering_before_final_fill,review_score_mean,float64,942,0.8362,11
after_feature_engineering_before_final_fill,review_score_min,float64,942,0.8362,5
after_feature_engineering_before_final_fill,review_score_max,float64,942,0.8362,5
after_feature_engineering_before_final_fill,review_count,float64,942,0.8362,3
after_feature_engineering_before_final_fill,review_comment_title_count,float64,942,0.8362,3
after_feature_engineering_before_final_fill,review_comment_message_count,float64,942,0.8362,4
after_feature_engineering_before_final_fill,review_response_days_mean,float64,942,0.8362,81501
after_feature_engineering_before_final_fill,review_creation_date_min,datetime64[ns],942,0.8362,633
after_feature_engineering_before_final_fill,review_answer_timestamp_max,datetime64[ns],942,0.8362,97234
