group_name,group_column,target_alias,target_column,created_prior_column,created_count_column,mean_prior,std_prior,min_prior,max_prior
seller,seller_id,risk,dataset2_fulfillment_risk_score,rgc_seller_prior_risk_mean,rgc_seller_prior_count,0.1573740633689132,0.051324253726089494,0.02129871156765739,0.8094159395335727
seller,seller_id,late,late_delivery_flag,rgc_seller_prior_late_mean,rgc_seller_prior_count,0.08806626688606596,0.1002996783850774,0.0,1.0
seller,seller_id,low_review,low_review_flag,rgc_seller_prior_low_review_mean,rgc_seller_prior_count,0.15405767103809517,0.12654504437923464,0.0,1.0
seller,seller_id,freight,freight_cost_component,rgc_seller_prior_freight_mean,rgc_seller_prior_count,0.4949770411329802,0.1031726668148559,0.02715912117177091,0.9722911673324455
seller,seller_id,delay_component,delivery_delay_component,rgc_seller_prior_delay_component_mean,rgc_seller_prior_count,0.053878404675579916,0.07748652767264322,0.0,1.0
seller,seller_id,service_component,review_service_component,rgc_seller_prior_service_component_mean,rgc_seller_prior_count,0.2388881118251881,0.12197167365792637,0.0,1.0
product,product_id,risk,dataset2_fulfillment_risk_score,rgc_product_prior_risk_mean,rgc_product_prior_count,0.15997678489470848,0.0638379249689786,0.0173931278876122,0.8094159395335727
product,product_id,late,late_delivery_flag,rgc_product_prior_late_mean,rgc_product_prior_count,0.09027389673588894,0.14880131186251974,0.0,1.0
product,product_id,low_review,low_review_flag,rgc_product_prior_low_review_mean,rgc_product_prior_count,0.15664610043148303,0.19512266958974772,0.0,1.0
product,product_id,freight,freight_cost_component,rgc_product_prior_freight_mean,rgc_product_prior_count,0.4969895355997193,0.12662786949196608,0.01036728806036391,0.9923901464713716
product,product_id,delay_component,delivery_delay_component,rgc_product_prior_delay_component_mean,rgc_product_prior_count,0.055162028784605216,0.10737233819810427,0.0,1.0
product,product_id,service_component,review_service_component,rgc_product_prior_service_component_mean,rgc_product_prior_count,0.2424170503216108,0.1857022395596537,0.0,1.0
category,product_category_name_english,risk,dataset2_fulfillment_risk_score,rgc_category_prior_risk_mean,rgc_category_prior_count,0.15972623958153181,0.02156194092622478,0.028960435900087567,0.7588122303595206
category,product_category_name_english,late,late_delivery_flag,rgc_category_prior_late_mean,rgc_category_prior_count,0.0927566471603385,0.03129392742488805,0.0,1.0
category,product_category_name_english,low_review,low_review_flag,rgc_category_prior_low_review_mean,rgc_category_prior_count,0.15703189957181574,0.043878943240521474,0.0,1.0
category,product_category_name_english,freight,freight_cost_component,rgc_category_prior_freight_mean,rgc_category_prior_count,0.49864071118124936,0.04442623072646119,0.10867865068797161,0.9326804260985352
category,product_category_name_english,delay_component,delivery_delay_component,rgc_category_prior_delay_component_mean,rgc_category_prior_count,0.06061422341079805,0.02755710183723156,0.0,1.0
category,product_category_name_english,service_component,review_service_component,rgc_category_prior_service_component_mean,rgc_category_prior_count,0.24309328992546728,0.04546835183685992,0.0,1.0
customer_state,customer_state,risk,dataset2_fulfillment_risk_score,rgc_customer_state_prior_risk_mean,rgc_customer_state_prior_count,0.15881723201542358,0.025916396229653527,0.06698652705483592,0.7758099866844208
customer_state,customer_state,late,late_delivery_flag,rgc_customer_state_prior_late_mean,rgc_customer_state_prior_count,0.09112591801304125,0.04081266195266986,0.0,1.0
customer_state,customer_state,low_review,low_review_flag,rgc_customer_state_prior_low_review_mean,rgc_customer_state_prior_count,0.1562903194392626,0.03797676916603762,0.0,1.0
customer_state,customer_state,freight,freight_cost_component,rgc_customer_state_prior_freight_mean,rgc_customer_state_prior_count,0.49276685715954227,0.12941297284187012,0.14209609409675988,0.9326804260985352
customer_state,customer_state,delay_component,delivery_delay_component,rgc_customer_state_prior_delay_component_mean,rgc_customer_state_prior_count,0.059581479522213945,0.030199488001655197,0.0,1.0
customer_state,customer_state,service_component,review_service_component,rgc_customer_state_prior_service_component_mean,rgc_customer_state_prior_count,0.24242551541309923,0.0363988752316179,0.0,1.0
seller_state,seller_state,risk,dataset2_fulfillment_risk_score,rgc_seller_state_prior_risk_mean,rgc_seller_state_prior_count,0.16030973529834153,0.014446895143881557,0.06326074345317349,0.7588122303595206
seller_state,seller_state,late,late_delivery_flag,rgc_seller_state_prior_late_mean,rgc_seller_state_prior_count,0.09331971678124863,0.025325309190055083,0.0,1.0
seller_state,seller_state,low_review,low_review_flag,rgc_seller_state_prior_low_review_mean,rgc_seller_state_prior_count,0.15815528922231487,0.026522865194966924,0.0,1.0
seller_state,seller_state,freight,freight_cost_component,rgc_seller_state_prior_freight_mean,rgc_seller_state_prior_count,0.49832847770723804,0.046989206779162844,0.10867865068797156,0.9326804260985352
seller_state,seller_state,delay_component,delivery_delay_component,rgc_seller_state_prior_delay_component_mean,rgc_seller_state_prior_count,0.060806747530381317,0.01950736874371628,0.0,1.0
seller_state,seller_state,service_component,review_service_component,rgc_seller_state_prior_service_component_mean,rgc_seller_state_prior_count,0.24433554340466143,0.02605155019167373,0.0,1.0
route,seller_customer_route,risk,dataset2_fulfillment_risk_score,rgc_route_prior_risk_mean,rgc_route_prior_count,0.15869280000820304,0.03275728609412206,0.0282445884275511,0.7782412494451841
route,seller_customer_route,late,late_delivery_flag,rgc_route_prior_late_mean,rgc_route_prior_count,0.09142960132937566,0.054922425642651616,0.0,1.0
route,seller_customer_route,low_review,low_review_flag,rgc_route_prior_low_review_mean,rgc_route_prior_count,0.15649334686846794,0.05644388111547906,0.0,1.0
route,seller_customer_route,freight,freight_cost_component,rgc_route_prior_freight_mean,rgc_route_prior_count,0.48945972492593615,0.15532195623151626,0.10867865068797161,0.9554917887261427
route,seller_customer_route,delay_component,delivery_delay_component,rgc_route_prior_delay_component_mean,rgc_route_prior_count,0.05944389273220751,0.040684451148998095,0.0,1.0
route,seller_customer_route,service_component,review_service_component,rgc_route_prior_service_component_mean,rgc_route_prior_count,0.24269481130548404,0.05497096397561049,0.0,1.0
seller_category,seller_category_key,risk,dataset2_fulfillment_risk_score,rgc_seller_category_prior_risk_mean,rgc_seller_category_prior_count,0.1575835119604004,0.05510420538680244,0.015414758587465993,0.8094159395335727
seller_category,seller_category_key,late,late_delivery_flag,rgc_seller_category_prior_late_mean,rgc_seller_category_prior_count,0.08745152154566148,0.11290624445529257,0.0,1.0
seller_category,seller_category_key,low_review,low_review_flag,rgc_seller_category_prior_low_review_mean,rgc_seller_category_prior_count,0.1536926187277028,0.1459937383176103,0.0,1.0
seller_category,seller_category_key,freight,freight_cost_component,rgc_seller_category_prior_freight_mean,rgc_seller_category_prior_count,0.4951128615027939,0.11055923213399432,0.03358477585441633,0.9887989347536619
seller_category,seller_category_key,delay_component,delivery_delay_component,rgc_seller_category_prior_delay_component_mean,rgc_seller_category_prior_count,0.05331940967802766,0.08549273107282242,0.0,1.0
seller_category,seller_category_key,service_component,review_service_component,rgc_seller_category_prior_service_component_mean,rgc_seller_category_prior_count,0.23872167979103093,0.14006017416280894,0.0,1.0
customer_category,customer_category_key,risk,dataset2_fulfillment_risk_score,rgc_customer_category_prior_risk_mean,rgc_customer_category_prior_count,0.15831644267204284,0.04062222170668605,0.017195889216020305,0.7758099866844208
customer_category,customer_category_key,late,late_delivery_flag,rgc_customer_category_prior_late_mean,rgc_customer_category_prior_count,0.09080788610678234,0.07528891618734719,0.0,1.0
customer_category,customer_category_key,low_review,low_review_flag,rgc_customer_category_prior_low_review_mean,rgc_customer_category_prior_count,0.15552205988185414,0.09042193869281778,0.0,1.0
customer_category,customer_category_key,freight,freight_cost_component,rgc_customer_category_prior_freight_mean,rgc_customer_category_prior_count,0.4899846023875343,0.13953701848983685,0.06387660896582326,0.9887989347536619
customer_category,customer_category_key,delay_component,delivery_delay_component,rgc_customer_category_prior_delay_component_mean,rgc_customer_category_prior_count,0.05923642574372932,0.05963713841364685,0.0,1.0
customer_category,customer_category_key,service_component,review_service_component,rgc_customer_category_prior_service_component_mean,rgc_customer_category_prior_count,0.24166403546377338,0.08679430036387718,0.0,1.0
