new_graph_feature,dtype,missing_count,unique_values,column_name,missing_before,fill_strategy,missing_after
rgc_seller_prior_risk_mean,float64,0.0,112649.0,,,,
rgc_seller_prior_count,float64,0.0,2033.0,,,,
rgc_seller_prior_late_mean,float64,0.0,21275.0,,,,
rgc_seller_prior_low_review_mean,float64,0.0,23426.0,,,,
rgc_seller_prior_freight_mean,float64,0.0,112367.0,,,,
rgc_seller_prior_delay_component_mean,float64,0.0,83874.0,,,,
rgc_seller_prior_service_component_mean,float64,0.0,51047.0,,,,
rgc_product_prior_risk_mean,float64,0.0,112650.0,,,,
rgc_product_prior_count,float64,0.0,527.0,,,,
rgc_product_prior_late_mean,float64,0.0,35533.0,,,,
rgc_product_prior_low_review_mean,float64,0.0,35814.0,,,,
rgc_product_prior_freight_mean,float64,0.0,110988.0,,,,
rgc_product_prior_delay_component_mean,float64,0.0,62036.0,,,,
rgc_product_prior_service_component_mean,float64,0.0,42372.0,,,,
rgc_category_prior_risk_mean,float64,0.0,112649.0,,,,
rgc_category_prior_count,float64,0.0,11115.0,,,,
rgc_category_prior_late_mean,float64,0.0,75460.0,,,,
rgc_category_prior_low_review_mean,float64,0.0,79579.0,,,,
rgc_category_prior_freight_mean,float64,0.0,112639.0,,,,
rgc_category_prior_delay_component_mean,float64,0.0,110294.0,,,,
rgc_category_prior_service_component_mean,float64,0.0,106316.0,,,,
rgc_customer_state_prior_risk_mean,float64,0.0,112649.0,,,,
rgc_customer_state_prior_count,float64,0.0,47449.0,,,,
rgc_customer_state_prior_late_mean,float64,0.0,97355.0,,,,
rgc_customer_state_prior_low_review_mean,float64,0.0,96015.0,,,,
rgc_customer_state_prior_freight_mean,float64,0.0,112643.0,,,,
rgc_customer_state_prior_delay_component_mean,float64,0.0,111794.0,,,,
rgc_customer_state_prior_service_component_mean,float64,0.0,110374.0,,,,
rgc_seller_state_prior_risk_mean,float64,0.0,112649.0,,,,
rgc_seller_state_prior_count,float64,0.0,80342.0,,,,
rgc_seller_state_prior_late_mean,float64,0.0,103197.0,,,,
rgc_seller_state_prior_low_review_mean,float64,0.0,104628.0,,,,
rgc_seller_state_prior_freight_mean,float64,0.0,112648.0,,,,
rgc_seller_state_prior_delay_component_mean,float64,0.0,112085.0,,,,
rgc_seller_state_prior_service_component_mean,float64,0.0,111609.0,,,,
rgc_route_prior_risk_mean,float64,0.0,112650.0,,,,
rgc_route_prior_count,float64,0.0,36192.0,,,,
rgc_route_prior_late_mean,float64,0.0,77352.0,,,,
rgc_route_prior_low_review_mean,float64,0.0,77103.0,,,,
rgc_route_prior_freight_mean,float64,0.0,112624.0,,,,
rgc_route_prior_delay_component_mean,float64,0.0,107085.0,,,,
rgc_route_prior_service_component_mean,float64,0.0,100132.0,,,,
rgc_seller_category_prior_risk_mean,float64,0.0,112649.0,,,,
rgc_seller_category_prior_count,float64,0.0,1882.0,,,,
rgc_seller_category_prior_late_mean,float64,0.0,20721.0,,,,
rgc_seller_category_prior_low_review_mean,float64,0.0,22342.0,,,,
rgc_seller_category_prior_freight_mean,float64,0.0,112116.0,,,,
rgc_seller_category_prior_delay_component_mean,float64,0.0,76096.0,,,,
rgc_seller_category_prior_service_component_mean,float64,0.0,44876.0,,,,
rgc_customer_category_prior_risk_mean,float64,0.0,112650.0,,,,
rgc_customer_category_prior_count,float64,0.0,5235.0,,,,
rgc_customer_category_prior_late_mean,float64,0.0,35863.0,,,,
rgc_customer_category_prior_low_review_mean,float64,0.0,38894.0,,,,
rgc_customer_category_prior_freight_mean,float64,0.0,112531.0,,,,
rgc_customer_category_prior_delay_component_mean,float64,0.0,97581.0,,,,
rgc_customer_category_prior_service_component_mean,float64,0.0,73175.0,,,,
