node_id,node_type,node_value,node_record_count,node_unique_orders,node_mean_risk,node_late_rate,node_low_review_rate,node_mean_freight,node_mean_delay_days
category::office_furniture,category,office_furniture,1691,1273,0.19681377810006664,0.1017149615612064,0.25901833234772326,40.551123595505615,-11.165393658831066
category::bed_bath_table,category,bed_bath_table,11115,9417,0.18412185346838442,0.0973459289248763,0.18515519568151148,18.415928025191185,-10.974017847919896
category::furniture_decor,category,furniture_decor,8334,6449,0.18400449076070954,0.10343172546196304,0.1904247660187185,20.728257739380847,-11.719054499251172
category::computers_accessories,category,computers_accessories,7827,6689,0.1810226815206921,0.09939951450108599,0.18385077296537627,18.821781014437203,-11.733859787345796
category::furniture_mattress_and_upholstery,category,furniture_mattress_and_upholstery,38,38,0.18083864547835932,0.15789473684210525,0.21052631578947367,42.90684210526316,-6.624943804824561
category::security_and_services,category,security_and_services,2,2,0.1798615972905691,0.0,0.5,20.61,-16.27826388888889
category::pc_gamer,category,pc_gamer,9,8,0.17683210240146272,0.1111111111111111,0.3333333333333333,14.841111111111111,-9.307365612139918
category::portateis_cozinha_e_preparadores_de_alimentos,category,portateis_cozinha_e_preparadores_de_alimentos,15,14,0.17637043261585134,0.13333333333333333,0.3333333333333333,20.650666666666666,-8.984535879629629
category::home_comfort_2,category,home_comfort_2,30,24,0.17535004992111164,0.16666666666666666,0.23333333333333334,13.677,-7.791481481481482
category::health_beauty,category,health_beauty,9670,8836,0.1725995408270364,0.10982419855222338,0.13567735263702171,18.879703205791106,-11.285028500110116
category::garden_tools,category,garden_tools,4347,3518,0.1724528343531544,0.09638831377961812,0.15850011502185415,22.765757994018863,-11.294612508147381
category::diapers_and_hygiene,category,diapers_and_hygiene,39,27,0.17072902606905288,0.07692307692307693,0.2564102564102564,14.709743589743589,-10.729842117758784
category::sports_leisure,category,sports_leisure,8641,7720,0.1705367373546653,0.09674806156694828,0.1448906376576785,19.512499710681634,-11.32803258287364
category::housewares,category,housewares,6964,5884,0.17021417683130996,0.08759333716255026,0.15493968983342907,20.986374210224007,-11.62142521575909
category::telephony,category,telephony,4545,4199,0.16884150606074708,0.10649064906490649,0.16743674367436745,15.669040704070406,-10.720597462871288
category::watches_gifts,category,watches_gifts,5991,5624,0.16877736260271273,0.10332164914037724,0.16107494575196127,16.7811600734435,-11.231969696442814
category::furniture_bedroom,category,furniture_bedroom,109,95,0.16662966845684063,0.12844036697247707,0.1651376146788991,42.49752293577981,-12.79402342422698
category::fashion_male_clothing,category,fashion_male_clothing,132,112,0.16547450822996798,0.10606060606060606,0.2803030303030303,16.306136363636362,-12.006954308712121
