node_id,node_type,node_value,node_record_count,node_unique_orders,node_mean_risk,node_late_rate,node_low_review_rate,node_mean_freight,node_mean_delay_days
route::es_to_se,route,es_to_se,1,1,0.7055630920249837,1.0,1.0,79.76,-12.046788194444446
route::sc_to_rr,route,sc_to_rr,1,1,0.696384925305498,1.0,1.0,84.94,-12.046788194444446
route::pi_to_rj,route,pi_to_rj,1,1,0.6944776895452528,1.0,1.0,34.77,-12.046788194444446
route::ac_to_sp,route,ac_to_sp,1,1,0.6431621992898359,1.0,1.0,32.84,-12.046788194444446
route::ce_to_pb,route,ce_to_pb,1,1,0.6368097459952387,1.0,1.0,46.08,-12.046788194444446
route::ba_to_ac,route,ba_to_ac,1,1,0.5851819313998448,1.0,1.0,51.7,24.06513888888889
route::ce_to_am,route,ce_to_am,1,1,0.5654955798966609,1.0,1.0,38.01,104.6936226851852
route::am_to_al,route,am_to_al,1,1,0.5529514388895614,1.0,1.0,35.26,38.00689814814815
route::ma_to_se,route,ma_to_se,6,6,0.47827734593990395,0.6666666666666666,0.5,20.52,-0.6865326003086422
route::mg_to_rr,route,mg_to_rr,4,3,0.47351108521210683,0.5,0.5,30.8325,-20.129256365740744
route::ma_to_es,route,ma_to_es,13,13,0.39669214586741514,0.5384615384615384,0.38461538461538464,28.496923076923075,-1.67460202991453
route::am_to_mg,route,am_to_mg,1,1,0.3846330936529072,0.0,1.0,25.29,-10.359016203703703
route::ba_to_ro,route,ba_to_ro,3,3,0.3528100687971593,0.3333333333333333,0.3333333333333333,43.49,-12.49842013888889
route::ma_to_al,route,ma_to_al,4,4,0.3462299060331455,0.75,0.25,23.755,1.5791232638888884
route::mt_to_pe,route,mt_to_pe,6,6,0.33965211347021657,0.5,0.5,31.221666666666664,-5.508369984567902
route::ce_to_pa,route,ce_to_pa,3,3,0.33858494995142835,0.3333333333333333,0.6666666666666666,117.08333333333333,-6.842449845679012
route::pr_to_al,route,pr_to_al,46,39,0.33026071518098266,0.5,0.391304347826087,39.880434782608695,-4.180819620571659
route::df_to_se,route,df_to_se,3,3,0.31733062570092524,0.3333333333333333,0.6666666666666666,18.103333333333335,-7.143117283950616
route::ma_to_pr,route,ma_to_pr,9,9,0.314084706421889,0.3333333333333333,0.3333333333333333,31.67,-9.869583333333333
route::rs_to_ma,route,rs_to_ma,15,14,0.3040502956659888,0.3333333333333333,0.4,43.690000000000005,-9.10669598765432
route::pb_to_go,route,pb_to_go,1,1,0.2998968579268046,0.0,1.0,26.1,-12.098020833333331
route::pb_to_pa,route,pb_to_pa,1,1,0.2900076738086591,0.0,1.0,20.93,-21.6365625
route::ma_to_go,route,ma_to_go,17,16,0.287110567082989,0.35294117647058826,0.17647058823529413,29.871176470588235,-7.686298338779957
route::ro_to_rs,route,ro_to_rs,1,1,0.2855158370657305,0.0,1.0,43.08,-12.184826388888888
route::ba_to_sc,route,ba_to_sc,16,16,0.28540143992682404,0.25,0.1875,40.565625,-11.158258463541667
route::es_to_pa,route,es_to_pa,3,3,0.2841471510848644,0.3333333333333333,0.3333333333333333,91.75,2.316504629629629
route::ma_to_sp,route,ma_to_sp,131,125,0.2771326326786869,0.2748091603053435,0.183206106870229,32.2275572519084,-8.861968431933843
route::pb_to_df,route,pb_to_df,1,1,0.2769981614413106,0.0,1.0,38.75,-11.309780092592591
route::ms_to_ba,route,ms_to_ba,3,3,0.2729577170223786,0.6666666666666666,0.0,42.486666666666665,-0.6012962962962964
route::rj_to_ce,route,rj_to_ce,59,57,0.2728999775359456,0.288135593220339,0.3050847457627119,34.25372881355932,-4.816649305555555
route::ma_to_pb,route,ma_to_pb,4,4,0.272796129829605,0.25,0.25,21.2575,-0.20932002314814802
route::es_to_sc,route,es_to_sc,14,13,0.2693361999565318,0.14285714285714285,0.2857142857142857,43.74142857142857,-11.270359209656084
route::ma_to_pe,route,ma_to_pe,23,22,0.26651115969434924,0.17391304347826086,0.17391304347826086,23.082173913043476,-11.087272795893721
route::se_to_pa,route,se_to_pa,1,1,0.2663011362627608,0.0,1.0,26.0,-26.431354166666665
route::go_to_pe,route,go_to_pe,11,11,0.26625165857895694,0.2727272727272727,0.18181818181818182,27.24,-9.181067445286196
route::sp_to_al,route,sp_to_al,286,266,0.26623154862650794,0.2867132867132867,0.2692307692307692,34.38409090909091,-7.757748943764569
route::sp_to_rr,route,sp_to_rr,40,36,0.26370173646324474,0.2,0.25,41.454,-14.345300491898149
route::rn_to_ce,route,rn_to_ce,4,3,0.2628118913166283,0.25,0.25,18.735,-4.978605324074074
route::df_to_ce,route,df_to_ce,15,15,0.2608036451053168,0.3333333333333333,0.26666666666666666,27.718666666666664,-3.45661149691358
route::pe_to_pa,route,pe_to_pa,7,5,0.25777257169808643,0.0,0.5714285714285714,38.98714285714285,-16.48521164021164
route::ma_to_to,route,ma_to_to,2,2,0.25731111599739726,0.5,0.5,61.925,-2.262025462962963
route::ce_to_pr,route,ce_to_pr,6,5,0.2560812348854726,0.16666666666666666,0.16666666666666666,57.60166666666667,-19.581557677469135
route::ma_to_rs,route,ma_to_rs,17,17,0.25596065139881197,0.11764705882352941,0.11764705882352941,54.442352941176466,-16.353039215686273
route::ma_to_ba,route,ma_to_ba,10,10,0.25536190971380546,0.4,0.0,22.726,-2.3924166666666666
route::pb_to_es,route,pb_to_es,1,1,0.2544805072025178,0.0,0.0,52.48,-9.274270833333333
route::sc_to_mt,route,sc_to_mt,30,28,0.25442615081427183,0.2,0.16666666666666666,46.383,-11.204233024691359
route::rn_to_rs,route,rn_to_rs,5,4,0.253006285986383,0.6,0.2,39.696,-8.013560185185185
route::ma_to_ce,route,ma_to_ce,9,9,0.2520831294241462,0.1111111111111111,0.2222222222222222,16.837777777777777,-14.91835519547325
route::ma_to_df,route,ma_to_df,28,27,0.2520479048874628,0.17857142857142858,0.17857142857142858,23.60607142857143,-11.215808118386244
route::mt_to_ce,route,mt_to_ce,2,2,0.2510804689486881,0.5,0.0,38.62,-3.718663194444445
