node_id,node_type,node_value,node_record_count,node_unique_orders,node_mean_risk,node_late_rate,node_low_review_rate,node_mean_freight,node_mean_delay_days
seller::37ceb404da208418c9032f0674e57804,seller,37ceb404da208418c9032f0674e57804,3,1,0.8275950519913536,1.0,1.0,23.06,-12.046788194444446
seller::40536e7ca18e1bce252828e5876466cc,seller,40536e7ca18e1bce252828e5876466cc,4,2,0.7817819511832371,1.0,1.0,124.76,-12.046788194444446
seller::f7df46c1e0ec44eed5c6726478da4a17,seller,f7df46c1e0ec44eed5c6726478da4a17,3,3,0.752881832364956,1.0,1.0,19.246666666666666,-12.046788194444446
seller::61f159ef6da2d441951d2c0efa719362,seller,61f159ef6da2d441951d2c0efa719362,3,3,0.7518912918129362,1.0,1.0,20.336666666666666,-12.046788194444446
seller::a247197e2e9c19a6a53a6888cb8b660f,seller,a247197e2e9c19a6a53a6888cb8b660f,2,2,0.7495819279031724,1.0,1.0,71.535,-12.046788194444446
seller::83d7070a0b9a8b4625fa8682b819fabb,seller,83d7070a0b9a8b4625fa8682b819fabb,2,2,0.7472743348332342,1.0,1.0,63.815,-12.046788194444446
seller::17adeba047385fb0c67d8e90b4296d21,seller,17adeba047385fb0c67d8e90b4296d21,3,1,0.7464732620151094,1.0,1.0,95.87,-12.046788194444446
seller::66d5ae34537110d3affc56174dad2b2f,seller,66d5ae34537110d3affc56174dad2b2f,3,1,0.7457544428060062,1.0,1.0,12.79,-12.046788194444446
seller::a0e19590a0923cdd0614ea9427713ced,seller,a0e19590a0923cdd0614ea9427713ced,7,2,0.7456673270987343,1.0,1.0,19.874285714285715,-12.046788194444446
seller::c4b911d06343b21dd906651f8101cb49,seller,c4b911d06343b21dd906651f8101cb49,2,2,0.7418661567701366,1.0,1.0,25.174999999999997,-12.046788194444446
seller::c85d7b477a709c85a1e8b8f25aa1b270,seller,c85d7b477a709c85a1e8b8f25aa1b270,2,1,0.7397447461503719,1.0,1.0,16.11,-12.046788194444446
seller::0aa124728afc1131dff5655f4c6f487b,seller,0aa124728afc1131dff5655f4c6f487b,2,2,0.737494574876421,1.0,1.0,53.93,-12.046788194444446
seller::bcf5566870987da7bc811fbc8c5b9fd9,seller,bcf5566870987da7bc811fbc8c5b9fd9,4,1,0.7332964778230733,1.0,1.0,7.78,-12.046788194444446
seller::d65f31d2413268e671989503f6cf9993,seller,d65f31d2413268e671989503f6cf9993,3,2,0.7332207264944915,1.0,1.0,23.71666666666667,-12.046788194444446
seller::278b6e0b20c4f61fefaa0577943d7a35,seller,278b6e0b20c4f61fefaa0577943d7a35,2,1,0.7329577728330104,1.0,1.0,37.31,-12.046788194444446
seller::f543ba3c973276f519d89d59bd46cead,seller,f543ba3c973276f519d89d59bd46cead,2,2,0.7319603836907547,1.0,0.5,82.02000000000001,-12.046788194444446
seller::e628d4a53c109f09ca88098338b3a3f5,seller,e628d4a53c109f09ca88098338b3a3f5,1,1,0.7316368234814975,1.0,1.0,58.9,-12.046788194444446
seller::90d4125885ab6c86e8820a722be71974,seller,90d4125885ab6c86e8820a722be71974,5,3,0.7288101299428964,1.0,1.0,8.68,-12.046788194444446
seller::e46bc031f2c5bae4ccb40bb90712e9b4,seller,e46bc031f2c5bae4ccb40bb90712e9b4,1,1,0.7259580398272852,1.0,1.0,50.09,-12.046788194444446
seller::f09e26011d833ddab11593c1a097a92a,seller,f09e26011d833ddab11593c1a097a92a,1,1,0.7251774873830464,1.0,1.0,22.19,-12.046788194444446
