node_id,rgc_degree,rgc_weighted_degree,rgc_pagerank
seller::1554a68530182680ad5c8b042c3ab563,104.0,1115.0,0.0005048257954239241
seller::a425f92c199eb576938df686728acd20,29.0,70.0,5.538079346396125e-05
seller::ecccfa2bb93b34a3bf033cc5d1dcdc69,23.0,95.0,5.2387141222864964e-05
seller::25e6ffe976bd75618accfe16cefcbd0d,90.0,530.0,0.0002816841247526862
seller::522620dcb18a6b31cd7bdf73665113a9,83.0,750.0,0.00033251839212932913
seller::f09b760d23495ac9a7e00d29b769007c,5.0,5.0,9.391396534972784e-06
seller::ed49da7cadefc454d6a67de249eab240,7.0,10.0,9.589864894504817e-06
seller::45d33f715e24d15a6ccf5c17b3a23e3c,67.0,295.0,0.00016052442368355205
seller::cca3071e3e9bb7d12640c9fbe2301306,369.0,4035.0,0.001988964958996272
seller::b499c00f28f4b7069ff6550af8c1348a,86.0,565.0,0.0002975062845059905
seller::817f85dbb65aa3e70831d90fe75cdf89,19.0,55.0,3.573307516209924e-05
seller::3481aa57cd91f9f9d3fa1fa12d9a3bf7,19.0,125.0,6.303333292241242e-05
seller::4b1eaadf791bdbbad8c4a35b65236d52,15.0,40.0,2.8403963604014604e-05
seller::5b179e9e8cc7ab6fd113a46ca584da81,32.0,180.0,8.509553196426231e-05
seller::624f4ece8da4aafb77699233d480f8ef,40.0,195.0,9.158216675764086e-05
seller::99eaacc9e6046db1c82b163c5f84869f,54.0,350.0,0.00016218172354783
seller::77530e9772f57a62c906e1c21538ab82,188.0,1450.0,0.0007864935628603874
seller::c7dcd301ecfe5ab7f778ac172cf74be7,12.0,20.0,1.8209052871739472e-05
seller::ce27a3cc3c8cc1ea79d11e561e9bebb6,90.0,705.0,0.00032003649113252364
seller::897060da8b9a21f655304d50fd935913,147.0,2075.0,0.0008847739061319723
seller::939f6e231201f26803cb5c3a3d2940b3,11.0,20.0,1.8200664290653445e-05
seller::620c87c171fb2a6dd6e8bb4dec959fc6,147.0,3140.0,0.0012978813807285891
seller::440dd6ab244315c632130ecfb63827b1,60.0,420.0,0.00020071124381152407
seller::b335c59ab742f751a85db9c411a86739,39.0,175.0,0.00010557254924122945
seller::e8f6dc8e6a1dcde89d20e3995c8d90b3,59.0,240.0,0.00014078426082341216
seller::86bb7c4b535e49a541baf3266b1c95b1,21.0,80.0,4.313347903663298e-05
seller::df560393f3a51e74553ab94004ba5c87,25.0,145.0,7.464024804638583e-05
seller::b7ba853e9551f4558440881fd3e5c815,9.0,10.0,1.296354278990247e-05
seller::184a67a8f9f63234d3a92340bbdb727f,17.0,55.0,3.8603186885405984e-05
seller::b1fecf4da1fa2689bccffa0121953643,28.0,100.0,8.275815082840704e-05
seller::05ff92fedb5be47920fea08e501238b9,59.0,270.0,0.00013727026510734384
seller::432c67955c0acd1fd6b0b5d678766a71,10.0,15.0,1.6314811380701752e-05
seller::b2ba3715d723d245138f291a6fe42594,217.0,1580.0,0.000813521041255199
seller::0c8380b62e38e8a1e6adbeba7eb9688c,103.0,960.0,0.0004577774956908676
seller::f67efa3f0b6761102a7f8c6b7b571f5d,32.0,160.0,8.059060911642155e-05
seller::a7f13822ceb966b076af67121f87b063,72.0,430.0,0.0001820375489226005
seller::822b63912576852aea9a8436d72317b7,19.0,45.0,3.0227564055444134e-05
seller::2138ccb85b11a4ec1e37afbd1c8eda1f,194.0,1835.0,0.0008731901743266582
seller::5f2684dab12e59f83bef73ae57724e45,55.0,325.0,0.0001615781653945444
seller::ed859002ad59dbf8cf3602696a6c3000,15.0,65.0,3.964305463417997e-05
seller::46dc3b2cc0980fb8ec44634e21d2718e,229.0,2535.0,0.001245717659791496
seller::76d5af76d0271110f9af36c92573f765,110.0,710.0,0.000387075034100509
seller::5a8e7d5003a1f221f9e1d6e411de7c23,84.0,645.0,0.0003272072688669298
seller::bac44fa8e13424950488659b5f765c41,5.0,5.0,9.383455317469896e-06
seller::3606774ec64634822d78dc2db6d37045,8.0,10.0,1.2630836852953758e-05
seller::82bd0703a4aefd6b599e5bfdaed378fb,35.0,120.0,7.44883132459741e-05
seller::dc8798cbf453b7e0f98745e396cc5616,61.0,255.0,0.00017095297898152723
seller::229c3efbfb0ea2058de4ccdfbc3d784a,56.0,670.0,0.00027787922080609024
seller::8c16d1f32a54d92897cc437244442e1b,60.0,525.0,0.00023707438030118785
seller::d101c6da914ae3d53f7bee42283f2fe2,20.0,80.0,4.0888692659197135e-05
seller::b17b679f4f5ce2e03ce6968c62648246,64.0,275.0,0.00016156395498950063
seller::62c50c1af4dfdc4149d25c5222043d39,23.0,95.0,4.9371107931760845e-05
seller::63b9ae557efed31d1f7687917d248a8d,19.0,35.0,2.883770205721901e-05
seller::024b564ae893ce8e9bfa02c10a401ece,9.0,40.0,2.4241714839656985e-05
seller::dd2bdf855a9172734fbc3744021ae9b9,90.0,565.0,0.00027987845167900356
seller::89bc797e2e29667aa035d4368f9b7f92,22.0,100.0,6.110579923104303e-05
seller::f0563bacf40c311f1c4d3d6b67b8a7a7,5.0,5.0,9.366945400985792e-06
seller::c9a06ece156bb057372c68718ec8909b,17.0,70.0,3.7143964108384815e-05
seller::bd4ff04377f974574f7f0bf9d6ce7dde,11.0,20.0,1.826273247257764e-05
seller::3d01d1c414c44b5943a09619ff3853cb,10.0,25.0,1.816892986721509e-05
seller::61f159ef6da2d441951d2c0efa719362,13.0,15.0,1.6761757878745686e-05
seller::0336182e1b3e92f029d5354832045fdf,6.0,10.0,1.2871280108867527e-05
seller::a3a38f4affed601eb87a97788c949667,156.0,1195.0,0.0006236927298165281
seller::87f3e35268860433e13d577825aada95,11.0,15.0,1.634501192765417e-05
seller::4b90495391ac0bd181a80a459df1e718,5.0,5.0,9.500809636619174e-06
seller::4be2e7f96b4fd749d52dff41f80e39dd,5.0,5.0,2.0049028856541326e-05
seller::ea6b12bf9ffe2bac34602ec631d97a47,25.0,55.0,3.9415265249099785e-05
seller::f5f2ab9bdb6b30c14c61be68c5ed37da,42.0,90.0,5.717419924698675e-05
seller::391fc6631aebcf3004804e51b40bcf1e,160.0,2460.0,0.001084875699128296
