feature_set,feature_name,feature_type,feature_role,status
Baseline,price,numeric,baseline_operational_feature,PASS
Baseline,freight_value,numeric,baseline_operational_feature,PASS
Baseline,item_total_value,numeric,baseline_operational_feature,PASS
Baseline,freight_ratio,numeric,baseline_operational_feature,PASS
Baseline,payment_value_sum,numeric,baseline_operational_feature,PASS
Baseline,payment_value_mean,numeric,baseline_operational_feature,PASS
Baseline,payment_value_max,numeric,baseline_operational_feature,PASS
Baseline,payment_installments_mean,numeric,baseline_operational_feature,PASS
Baseline,payment_installments_max,numeric,baseline_operational_feature,PASS
Baseline,payment_count,numeric,baseline_operational_feature,PASS
Baseline,payment_type_count,numeric,baseline_operational_feature,PASS
Baseline,product_name_lenght,numeric,baseline_operational_feature,PASS
Baseline,product_description_lenght,numeric,baseline_operational_feature,PASS
Baseline,product_photos_qty,numeric,baseline_operational_feature,PASS
Baseline,product_weight_g,numeric,baseline_operational_feature,PASS
Baseline,product_length_cm,numeric,baseline_operational_feature,PASS
Baseline,product_height_cm,numeric,baseline_operational_feature,PASS
Baseline,product_width_cm,numeric,baseline_operational_feature,PASS
Baseline,product_volume_cm3,numeric,baseline_operational_feature,PASS
Baseline,product_weight_kg,numeric,baseline_operational_feature,PASS
Baseline,freight_per_kg,numeric,baseline_operational_feature,PASS
Baseline,freight_per_1000cm3,numeric,baseline_operational_feature,PASS
Baseline,geo_distance_km,numeric,baseline_operational_feature,PASS
Baseline,geo_distance_missing_flag,numeric,baseline_operational_feature,PASS
Baseline,same_seller_customer_state_flag,numeric,baseline_operational_feature,PASS
Baseline,order_item_count,numeric,baseline_operational_feature,PASS
Baseline,order_seller_count,numeric,baseline_operational_feature,PASS
Baseline,order_category_count,numeric,baseline_operational_feature,PASS
Baseline,seller_prior_order_item_count,numeric,baseline_operational_feature,PASS
Baseline,product_prior_order_item_count,numeric,baseline_operational_feature,PASS
Baseline,category_prior_order_item_count,numeric,baseline_operational_feature,PASS
Baseline,route_prior_order_item_count,numeric,baseline_operational_feature,PASS
Baseline,seller_historical_late_rate,numeric,baseline_operational_feature,PASS
Baseline,route_historical_late_rate,numeric,baseline_operational_feature,PASS
Baseline,category_historical_late_rate,numeric,baseline_operational_feature,PASS
Baseline,seller_historical_low_review_rate,numeric,baseline_operational_feature,PASS
Baseline,category_daily_order_items,numeric,baseline_operational_feature,PASS
Baseline,category_daily_unique_orders,numeric,baseline_operational_feature,PASS
Baseline,category_daily_unique_sellers,numeric,baseline_operational_feature,PASS
Baseline,category_demand_roll_mean_7,numeric,baseline_operational_feature,PASS
Baseline,category_demand_roll_std_7,numeric,baseline_operational_feature,PASS
Baseline,category_demand_roll_mean_14,numeric,baseline_operational_feature,PASS
Baseline,category_demand_roll_std_14,numeric,baseline_operational_feature,PASS
Baseline,estimated_delivery_days,numeric,baseline_operational_feature,PASS
Baseline,shipping_limit_from_purchase_days,numeric,baseline_operational_feature,PASS
Baseline,shipping_limit_from_approval_days,numeric,baseline_operational_feature,PASS
