model_name,feature_set,split,feature_count,numeric_feature_count,categorical_feature_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_ovr_macro
CatBoost,Baseline,test,72,67,5,0.6234465617232808,0.6305401900891124,0.6208014699813782,0.6305401900891124,0.6231832131142164,0.6189957253926133,0.6234465617232808,0.6189317326296768,0.8055453418265218
LightGBM,Baseline,test,72,67,5,0.6242158835365132,0.632445459195954,0.6199040463558315,0.632445459195954,0.622134156721054,0.6192772200283363,0.6242158835365132,0.6179942347648419,0.8034302207661733
XGBoost,Baseline,test,72,67,5,0.6194815954550834,0.6322811799412628,0.6162703047752239,0.6322811799412628,0.618968765489028,0.6167738397783954,0.6194815954550834,0.6127885938709099,0.8056352656133425
CatBoost,Proposed-RGC-Optimized,test,176,171,5,0.973192093738904,0.9735790036019565,0.9742742306861342,0.9735790036019565,0.9738804745739102,0.9733475088003373,0.973192093738904,0.9732258862927842,0.9986833020174523
LightGBM,Proposed-RGC-Optimized,test,176,171,5,0.9707657710971712,0.9712270683674998,0.971951332253,0.9712270683674998,0.9715366722272475,0.9709254783102836,0.9707657710971712,0.9707956730238552,0.9985026968944307
XGBoost,Proposed-RGC-Optimized,test,176,171,5,0.9636643389750267,0.9646304862672426,0.9647454443323825,0.9646304862672426,0.9646143007630372,0.963849506644682,0.9636643389750267,0.963689474406709,0.9975045961647296
LightGBM,Baseline,train,72,67,5,0.7579608141525584,0.7545552883428236,0.7718822836897398,0.7545552883428236,0.7529052384511109,0.7721183804957276,0.7579608141525584,0.7544593078344656,0.9052201427542236
XGBoost,Baseline,train,72,67,5,0.6723733434785365,0.6669969382996114,0.6750868798632225,0.6669969382996114,0.6612154077348498,0.6761436428145036,0.6723733434785365,0.6641797580488914,0.8349948271643385
CatBoost,Baseline,train,72,67,5,0.6529452793101261,0.6490155520822897,0.6591032936545159,0.6490155520822897,0.6439176017877829,0.6611352340031299,0.6529452793101261,0.646659640029277,0.8231139278704759
LightGBM,Proposed-RGC-Optimized,train,176,171,5,0.9999873184959737,0.999986527087291,0.9999879051765844,0.999986527087291,0.99998721588608,0.9999873189561154,0.9999873184959737,0.9999873184828659,0.9999999995152337
XGBoost,Proposed-RGC-Optimized,train,176,171,5,0.9914526662862215,0.9913333252760171,0.9913429879533506,0.9913333252760171,0.9913362030703965,0.9914643001121995,0.9914526662862215,0.9914565024074369,0.9998264575497302
CatBoost,Proposed-RGC-Optimized,train,176,171,5,0.9863039756515123,0.9862529530751538,0.986018715509526,0.9862529530751538,0.9861220791251225,0.9863710742913007,0.9863039756515123,0.9863242210322793,0.9996018900526424
LightGBM,Baseline,valid,72,67,5,0.6207018997455169,0.6300223760869029,0.6202462875085495,0.6300223760869029,0.6234840159138263,0.6165626344504997,0.6207018997455169,0.6170976799612953,0.8073170241864162
CatBoost,Baseline,valid,72,67,5,0.6172693377522637,0.6252129108131063,0.618600576447089,0.6252129108131063,0.621052423464051,0.6142952694751405,0.6172693377522637,0.6149925795358308,0.8073086090774151
XGBoost,Baseline,valid,72,67,5,0.616973427235604,0.6277803180654457,0.6166398067624983,0.6277803180654457,0.6191987495042778,0.6131194045665298,0.616973427235604,0.6120319930984065,0.8013334642256522
CatBoost,Proposed-RGC-Optimized,valid,176,171,5,0.9758537018405634,0.9761166093640208,0.9761773157166376,0.9761166093640208,0.9761161550782024,0.9759953528642468,0.9758537018405634,0.9758931157864026,0.9988078672006434
LightGBM,Proposed-RGC-Optimized,valid,176,171,5,0.9735455998106173,0.9741063718584068,0.9737564359430207,0.9741063718584068,0.9739080831472068,0.9736272689805395,0.9735455998106173,0.9735640060811301,0.9985908270624329
XGBoost,Proposed-RGC-Optimized,valid,176,171,5,0.9657927442741315,0.9666938708890115,0.9660146321374469,0.9666938708890115,0.966265331578381,0.9660476154511992,0.9657927442741315,0.9658353008032338,0.9977504125969672
