policy_name,policy_group,split,scenario,coordinated_action,rows,mean_reward,total_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_cost,mean_profit_proxy,dominant_action,dominant_action_percent,action_entropy,unique_actions_used
random_policy,Baseline,train,normal,0,78855,7.099729270108536,559849.1515944087,0.9246602003167588,0.1327744278387064,0.14969576077832072,0.8983699698101285,0.8118667778916955,0.3871884092176867,0.801560890339451,seller_risk_avoidance,20.263775283748654,1.6094120898478697,5
cost_priority_policy,Baseline,train,normal,0,78855,6.437165705403501,507602.7016995931,1.1444562872362654,0.19566042884195958,0.2148758044037935,0.8009277399149689,0.6600181985310538,0.27929986286905484,0.7697702583493864,cost_priority_fulfillment,100.0,0.0,1
balanced_policy,Baseline,train,normal,0,78855,6.9909486599801545,551271.2565827351,0.8854930083906831,0.14867068294164892,0.16051316717733252,0.8978161081010184,0.793368520090988,0.36780703339912946,0.7602741788776299,balanced_fulfillment,100.0,0.0,1
logistics_priority_policy,Baseline,train,normal,0,78855,7.299446980912173,575597.8916798295,0.725255548475003,0.13635132709359601,0.07388605465745478,0.9314380817904596,0.8206450510347669,0.4240062829307254,0.8142494528096234,accelerated_logistics,100.0,0.0,1
seller_risk_avoidance_policy,Baseline,train,normal,0,78855,7.407576626287169,584124.4548658747,0.724784640444542,0.07245779515816275,0.14018276329665158,0.8978161081010184,0.9141931875383348,0.43035720418697326,0.8141125707060454,seller_risk_avoidance,100.0,0.0,1
service_priority_policy,Baseline,train,normal,0,78855,7.361699844756364,580506.8412582631,0.6862286240820711,0.11124004207639383,0.15851284823420353,0.9636097904258181,0.8702733024330603,0.4347969480802957,0.850075633179357,service_recovery_priority,100.0,0.0,1
rule_based_policy,Baseline,train,normal,0,78855,7.14669328938667,563552.4993345859,0.6490545598481865,0.12853775141227097,0.15966972046955963,0.9358688582827516,0.8116856280908611,0.38212980445679817,0.7764176267402905,balanced_fulfillment,72.79310126180964,0.8224862234890687,5
q_table_policy,Baseline,train,normal,0,78855,7.406647122357008,584051.1588334618,0.7281798048579765,0.07563215796929569,0.14149367069331387,0.9039233100782333,0.9127310621964086,0.43079571358385,0.8142041237513068,seller_risk_avoidance,97.18216980533892,0.13324324320184314,4
random_policy,Baseline,valid,normal,0,16897,7.1196231958513065,120300.27314029953,0.7982585078896972,0.12692771121965732,0.15061080084416062,0.9163381106348422,0.7894145784610095,0.37943308471512927,0.8081498251609329,accelerated_logistics,20.364561756524825,1.6093364796861793,5
cost_priority_policy,Baseline,valid,normal,0,16897,6.4639859036969325,109221.96981476707,0.9494436208686906,0.18569853701067618,0.21655855734213555,0.8214706287372566,0.6357589521193246,0.2758408690476163,0.7749087575049842,cost_priority_fulfillment,100.0,0.0,1
