action_name,count,percent,policy_name,policy_group,split,scenario,coordinated_action
seller_risk_avoidance,39917,50.620759622091185,sthg_cmappo_pareto_policy,Proposed-CMARL,train,normal,1
service_recovery_priority,14999,19.020987889163653,sthg_cmappo_pareto_policy,Proposed-CMARL,train,normal,1
accelerated_logistics,14687,18.625324963540677,sthg_cmappo_pareto_policy,Proposed-CMARL,train,normal,1
balanced_fulfillment,9252,11.73292752520449,sthg_cmappo_pareto_policy,Proposed-CMARL,train,normal,1
seller_risk_avoidance,52046,66.00215585568449,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,train,normal,1
service_recovery_priority,13482,17.097203728362185,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,train,normal,1
accelerated_logistics,12384,15.704774586265932,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,train,normal,1
balanced_fulfillment,943,1.195865829687401,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,train,normal,1
seller_risk_avoidance,53355,67.66216473273731,sthg_cmappo_risk_service_policy,Proposed-CMARL,train,normal,1
service_recovery_priority,13947,17.686893665588737,sthg_cmappo_risk_service_policy,Proposed-CMARL,train,normal,1
accelerated_logistics,11192,14.193139306321731,sthg_cmappo_risk_service_policy,Proposed-CMARL,train,normal,1
balanced_fulfillment,361,0.4578022953522287,sthg_cmappo_risk_service_policy,Proposed-CMARL,train,normal,1
seller_risk_avoidance,54487,69.09771098852325,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,train,normal,1
service_recovery_priority,13078,16.58487096569653,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,train,normal,1
accelerated_logistics,10704,13.574281909834507,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,train,normal,1
balanced_fulfillment,586,0.7431361359457231,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,train,normal,1
seller_risk_avoidance,10447,61.82754335089069,sthg_cmappo_pareto_policy,Proposed-CMARL,valid,normal,1
accelerated_logistics,2789,16.505888619281528,sthg_cmappo_pareto_policy,Proposed-CMARL,valid,normal,1
service_recovery_priority,2493,14.754098360655737,sthg_cmappo_pareto_policy,Proposed-CMARL,valid,normal,1
balanced_fulfillment,1168,6.912469669172043,sthg_cmappo_pareto_policy,Proposed-CMARL,valid,normal,1
seller_risk_avoidance,12674,75.0073977629165,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,valid,normal,1
service_recovery_priority,2321,13.736166183346157,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,valid,normal,1
accelerated_logistics,1775,10.504823341421554,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,valid,normal,1
balanced_fulfillment,127,0.7516127123157957,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,valid,normal,1
seller_risk_avoidance,12935,76.55205065988045,sthg_cmappo_risk_service_policy,Proposed-CMARL,valid,normal,1
service_recovery_priority,2374,14.049831331005505,sthg_cmappo_risk_service_policy,Proposed-CMARL,valid,normal,1
accelerated_logistics,1541,9.119962123453867,sthg_cmappo_risk_service_policy,Proposed-CMARL,valid,normal,1
balanced_fulfillment,47,0.27815588566017635,sthg_cmappo_risk_service_policy,Proposed-CMARL,valid,normal,1
seller_risk_avoidance,13127,77.68834704385394,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,valid,normal,1
service_recovery_priority,2268,13.42250103568681,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,valid,normal,1
accelerated_logistics,1422,8.415695093803635,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,valid,normal,1
balanced_fulfillment,80,0.47345682665561933,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,valid,normal,1
seller_risk_avoidance,10104,59.7940584684578,sthg_cmappo_pareto_policy,Proposed-CMARL,test,normal,1
accelerated_logistics,3083,18.244762693809918,sthg_cmappo_pareto_policy,Proposed-CMARL,test,normal,1
service_recovery_priority,2266,13.40987099064978,sthg_cmappo_pareto_policy,Proposed-CMARL,test,normal,1
balanced_fulfillment,1445,8.551307847082496,sthg_cmappo_pareto_policy,Proposed-CMARL,test,normal,1
seller_risk_avoidance,12473,73.81346904959166,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,test,normal,1
accelerated_logistics,2141,12.670138477926383,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,test,normal,1
service_recovery_priority,2105,12.457095514262043,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,test,normal,1
balanced_fulfillment,179,1.0592969582199077,sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,test,normal,1
seller_risk_avoidance,12812,75.81962362409753,sthg_cmappo_risk_service_policy,Proposed-CMARL,test,normal,1
service_recovery_priority,2149,12.71748135874068,sthg_cmappo_risk_service_policy,Proposed-CMARL,test,normal,1
accelerated_logistics,1865,11.036809089833117,sthg_cmappo_risk_service_policy,Proposed-CMARL,test,normal,1
balanced_fulfillment,72,0.4260859273286779,sthg_cmappo_risk_service_policy,Proposed-CMARL,test,normal,1
seller_risk_avoidance,12943,76.59486329743164,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,test,normal,1
service_recovery_priority,2065,12.220381110190555,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,test,normal,1
accelerated_logistics,1774,10.498283820570482,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,test,normal,1
balanced_fulfillment,116,0.6864717718073144,sthg_cmappo_cost_resilient_policy,Proposed-CMARL,test,normal,1
