state_bin,action_id,action_name
r0|d0|c0,3,seller_risk_avoidance
r0|d0|c1,3,seller_risk_avoidance
r0|d0|c2,3,seller_risk_avoidance
r0|d1|c0,3,seller_risk_avoidance
r0|d1|c1,3,seller_risk_avoidance
r0|d1|c2,3,seller_risk_avoidance
r0|d1|c3,2,accelerated_logistics
r0|d2|c0,0,cost_priority_fulfillment
r0|d2|c1,4,service_recovery_priority
r0|d2|c2,0,cost_priority_fulfillment
r1|d0|c0,3,seller_risk_avoidance
r1|d0|c1,3,seller_risk_avoidance
r1|d0|c2,3,seller_risk_avoidance
r1|d0|c3,3,seller_risk_avoidance
r1|d1|c0,3,seller_risk_avoidance
r1|d1|c1,3,seller_risk_avoidance
r1|d1|c2,3,seller_risk_avoidance
r1|d1|c3,3,seller_risk_avoidance
r1|d2|c0,3,seller_risk_avoidance
r1|d2|c1,3,seller_risk_avoidance
r1|d2|c2,3,seller_risk_avoidance
r1|d2|c3,3,seller_risk_avoidance
r1|d3|c1,0,cost_priority_fulfillment
r1|d3|c2,4,service_recovery_priority
r2|d0|c0,3,seller_risk_avoidance
r2|d0|c1,3,seller_risk_avoidance
r2|d0|c2,3,seller_risk_avoidance
r2|d1|c0,3,seller_risk_avoidance
r2|d1|c1,3,seller_risk_avoidance
r2|d1|c2,3,seller_risk_avoidance
r2|d1|c3,3,seller_risk_avoidance
r2|d2|c0,4,service_recovery_priority
r2|d2|c1,3,seller_risk_avoidance
r2|d2|c2,3,seller_risk_avoidance
r2|d2|c3,3,seller_risk_avoidance
r2|d3|c0,2,accelerated_logistics
r2|d3|c1,3,seller_risk_avoidance
r2|d3|c2,3,seller_risk_avoidance
r2|d3|c3,3,seller_risk_avoidance
r3|d2|c0,3,seller_risk_avoidance
r3|d2|c1,3,seller_risk_avoidance
r3|d2|c2,3,seller_risk_avoidance
r3|d2|c3,3,seller_risk_avoidance
r3|d3|c0,3,seller_risk_avoidance
r3|d3|c1,3,seller_risk_avoidance
r3|d3|c2,4,service_recovery_priority
r3|d3|c3,3,seller_risk_avoidance
