ablation_type,action_id,action_name,metric,non_coordinated_value,graph_coordinated_value,absolute_improvement,percent_improvement,rows_non_coordinated,rows_graph_coordinated,source
Coordination-effect ablation,0,cost_priority_fulfillment,mean_reward,6.456677520518582,7.02484522556218,0.5681677050435976,8.799691532340367,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,0,cost_priority_fulfillment,mean_risk,0.1916760800285447,0.18605847632582748,0.0056176037027172165,2.9307797310340624,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,0,cost_priority_fulfillment,mean_delay,0.2140479616297502,0.20860425022180948,0.005443711407940727,2.5432203915854124,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,0,cost_priority_fulfillment,mean_service,0.8090078110148424,0.8312624524983068,0.022254641483464344,2.7508561945214702,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,0,cost_priority_fulfillment,mean_resilience,0.6546517765436323,0.6935993589382413,0.03894758239460905,5.949358695739094,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,0,cost_priority_fulfillment,mean_cost,0.2793061011208446,0.26834578183178737,0.010960319289057219,3.924124551906987,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,0,cost_priority_fulfillment,mean_profit_proxy,0.7716748052176335,0.7994271719441521,0.027752366726518596,3.5963810842174206,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,1,balanced_fulfillment,mean_reward,7.007822582042448,7.727526447609337,0.7197038655668893,10.270006940688411,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,1,balanced_fulfillment,mean_risk,0.14577943107077732,0.13360567192020414,0.012173759150573171,8.350807148275049,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,1,balanced_fulfillment,mean_delay,0.15995509085948043,0.14688968171011638,0.013065409149364049,8.16817337864034,112650,112650,Step 20 actual counterfactual transition table
Coordination-effect ablation,1,balanced_fulfillment,mean_service,0.9055625970352227,0.9282312456844075,0.02266864864918483,2.5032668888270253,112650,112650,Step 20 actual counterfactual transition table
