ablation_type,baseline_policy,proposed_policy,metric,direction,baseline_value,proposed_value,absolute_improvement,percent_improvement,source
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,mean_reward,higher_better,7.478605240017239,8.31062975777175,0.8320245177545109,11.125396929663223,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,mean_risk,lower_better,0.0666190680974337,0.0578498959281822,0.0087691721692514,13.1631564650921,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,mean_delay,lower_better,0.135731377302558,0.1151118402348581,0.0206195370676998,15.191429923927558,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,mean_service,higher_better,0.9280747572555508,0.9779152876386152,0.0498405303830644,5.370314190038958,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,mean_resilience,higher_better,0.9057977227560816,0.9637393008682608,0.0579415781121791,6.396745835911314,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,mean_cost,lower_better,0.4332720426269232,0.4189049655007131,0.01436707712621,3.3159483448557245,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,mean_profit_proxy,higher_better,0.8218429237992173,0.868936236921516,0.0470933131222987,5.730208505610248,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,action_entropy,higher_better,0.0,0.7319356151105708,0.7319356151105708,,Step 20 actual baseline-vs-proposed improvement
Policy-level ablation,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,unique_actions_used,higher_better,1.0,4.0,3.0,300.0,Step 20 actual baseline-vs-proposed improvement
Policy strength check,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,reward_improvement_target,target_check,5.0,11.125396929663223,,11.125396929663223,Step 20 actual strength check: PASS
Policy strength check,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,risk_reduction_target,target_check,3.0,13.1631564650921,,13.1631564650921,Step 20 actual strength check: PASS
Policy strength check,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,delay_reduction_target,target_check,3.0,15.191429923927558,,15.191429923927558,Step 20 actual strength check: PASS
Policy strength check,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,service_improvement_target,target_check,3.0,5.370314190038958,,5.370314190038958,Step 20 actual strength check: PASS
Policy strength check,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,resilience_improvement_target,target_check,3.0,6.396745835911314,,6.396745835911314,Step 20 actual strength check: PASS
